Gene_set_up,Term_up,Overlap_up,P-value_up,Adjusted P-value_up,Old P-value_up,Old Adjusted P-value_up,Odds Ratio_up,Combined Score_up,Genes_up,Compound,Gene_set_dn,Term_dn,Overlap_dn,P-value_dn,Adjusted P-value_dn,Old P-value_dn,Old Adjusted P-value_dn,Odds Ratio_dn,Combined Score_dn,Genes_dn,Consensus_connectivity
LINCS_L1000_Chem_Pert_Consensus_Sigs,Ulipristal Down,1/244,0.093547999824044,0.0957483995431995,0,0,11.610229276895945,27.507891072209866,EMP1,ulipristal,LINCS_L1000_Chem_Pert_Consensus_Sigs,Ulipristal Down,4/244,7.350201055461792e-07,0.0006907519090139286,0,0,109.7388888888889,1549.8827098917068,CLDN5;ANGPT2;MECOM;VWF,10.696760466745122
LINCS_L1000_Chem_Pert_Consensus_Sigs,AZD-4547 Down,2/246,0.0040177678292462,0.0957483995431995,0,0,26.97814207650273,148.83918672360818,HEXB;EMP1,azd-4547,LINCS_L1000_Chem_Pert_Consensus_Sigs,AZD-4547 Down,2/246,0.0030379098552341,0.0193558126625532,0,0,32.37540983606557,187.66683275510053,ANGPT2;MECOM,10.249545300351091
LINCS_L1000_Chem_Pert_Consensus_Sigs,Peucedanin Down,2/246,0.0040177678292462,0.0957483995431995,0,0,26.97814207650273,148.83918672360818,FCN3;HEXB,peucedanin,LINCS_L1000_Chem_Pert_Consensus_Sigs,Peucedanin Up,2/246,0.0030379098552341,0.0193558126625532,0,0,32.37540983606557,187.66683275510053,ANGPT2;MECOM,10.249545300351091
LINCS_L1000_Chem_Pert_Consensus_Sigs,KU-C103655 Up,2/248,0.0040818594270441,0.0957483995431995,0,0,26.75609756097561,147.19071487197914,FCN3;EMP1,ku-c103655,LINCS_L1000_Chem_Pert_Consensus_Sigs,KU-C103655 Down,2/246,0.0030379098552341,0.0193558126625532,0,0,32.37540983606557,187.66683275510053,CKMT2;MECOM,10.2384827280756
LINCS_L1000_Chem_Pert_Consensus_Sigs,Penicillin Down,2/249,0.0041140855531755,0.0957483995431995,0,0,26.64642375168691,146.377830607865,PROS1;EMP1,penicillin,LINCS_L1000_Chem_Pert_Consensus_Sigs,Penicillin Up,2/247,0.0030621966941814,0.0193558126625532,0,0,32.241632653061224,186.63464816466168,ANGPT2;MECOM,10.22749627673986
LINCS_L1000_Chem_Pert_Consensus_Sigs,Enoximone Up,1/245,0.0939150581317378,0.0957483995431995,0,0,11.562060889929745,27.348488863039687,EMP1,enoximone,LINCS_L1000_Chem_Pert_Consensus_Sigs,Enoximone Down,3/240,5.763838405981794e-05,0.0027293117791016,0,0,62.51898734177215,610.2679554457255,CLDN5;ANGPT2;VWF,9.760109141182074
LINCS_L1000_Chem_Pert_Consensus_Sigs,Naltriben Down,1/242,0.0928134928675034,0.0957483995431995,0,0,11.70776526378186,27.831269353724167,FCN3,naltriben,LINCS_L1000_Chem_Pert_Consensus_Sigs,Naltriben Up,3/246,6.203306399548623e-05,0.0027293117791016,0,0,60.95679012345679,590.5398140128326,CLDN5;ANGPT2;VWF,9.744189531002835
LINCS_L1000_Chem_Pert_Consensus_Sigs,Hydrazobenzene Down,1/244,0.093547999824044,0.0957483995431995,0,0,11.610229276895945,27.507891072209866,HEXB,hydrazobenzene,LINCS_L1000_Chem_Pert_Consensus_Sigs,Hydrazobenzene Down,3/244,6.054452139381377e-05,0.0027293117791016,0,0,61.468879668049794,596.993846965976,CLDN5;NR4A1;VWF,9.74376139322029
LINCS_L1000_Chem_Pert_Consensus_Sigs,SID-7969543 Down,1/246,0.0942819863760005,0.0957483995431995,0,0,11.514285714285714,27.190584236877303,EMP1,sid-7969543,LINCS_L1000_Chem_Pert_Consensus_Sigs,SID-7969543 Up,3/244,6.054452139381377e-05,0.0027293117791016,0,0,61.468879668049794,596.993846965976,CLDN5;MECOM;VWF,9.732568494423445
LINCS_L1000_Chem_Pert_Consensus_Sigs,RAN-27 Up,1/245,0.0939150581317378,0.0957483995431995,0,0,11.562060889929745,27.348488863039687,HEXB,ran-27,LINCS_L1000_Chem_Pert_Consensus_Sigs,RAN-27 Down,3/247,6.278628276184091e-05,0.0027293117791016,0,0,60.70389344262295,587.3571499681312,CKMT2;CLDN5;VWF,9.721907887274263
