Compound,Score_reversal_up,AdjP_reversal_up,Genes_matched_up,Score_reversal_dn,AdjP_reversal_dn,Genes_matched_dn,Combined_connectivity
cpc012,2797.6605002155425,0.0611483297046572,PROS1,2626.5261397690333,0.0577174932304084,NR4A1;ANGPT2,15.810694240150877
ljp005,3445.2899826083253,0.0611483297046572,EMP1,1657.3964565725007,0.0577174932304084,NR4A1,15.558659988508143
cpc008,1895.027824035605,0.0611483297046572,PROS1;HEXB,1852.1566750462316,0.0577174932304084,ANGPT2,15.072162132645246
ljp009,643.5130349149837,0.0611483297046572,EMP1,5287.722499803602,0.0577174932304084,MECOM,15.041827049290662
cpc001,2008.4764659134423,0.0611483297046572,PROS1,1657.3964565725007,0.0577174932304084,ANGPT2,15.019235926871596
cpc005,608.4900471331728,0.0611483297046572,PROS1,5287.722499803602,0.0577174932304084,ANGPT2,14.985954621495232
cpc014,1549.43708775113,0.0611483297046572,PROS1,1362.8623704331803,0.0577174932304084,ANGPT2,14.564368094129062
cpc006,961.5775796687342,0.0611483297046572,PROS1,1249.0776854949,0.0577174932304084,ANGPT2,14.000575641928117
cpc009,608.4900471331728,0.0611483297046572,HEXB,1852.1566750462316,0.0577174932304084,ANGPT2,13.93726839404168
ljp008,890.6521752159383,0.0611483297046572,HEXB,1249.0776854949,0.0577174932304084,NR4A1,13.924037095196791
ljp006,890.6521752159383,0.0611483297046572,EMP1,1151.4545938502376,0.0577174932304084,MECOM,13.842725494569592
cpc002,576.7477724354015,0.0611483297046572,PROS1,1362.8623704331803,0.0577174932304084,ANGPT2,13.577213325431991
cpc015,401.4040374155011,0.0611483297046572,PROS1,1497.032601111507,0.0577174932304084,ANGPT2,13.309364579006061
cpc019,608.4900471331728,0.0611483297046572,PROS1,927.7001289942034,0.0577174932304084,ANGPT2,13.246408516907541
cpc004,682.3340060288631,0.0611483297046572,PROS1,730.0602205833903,0.0577174932304084,ANGPT2,13.121479605352015
cpc011,260.6898169568008,0.0611483297046572,PROS1,1657.3964565725007,0.0577174932304084,ANGPT2,12.980766322112197
cpc013,371.8308142207318,0.0611483297046572,EMP1,1066.8501922993223,0.0577174932304084,ANGPT2,12.894527475865907
ljp007,454.4518266085444,0.0611483297046572,EMP1,869.8689177892479,0.0577174932304084,MECOM,12.890781421043778
cpc018,547.8577209909951,0.0611483297046572,PROS1,657.6335609979999,0.0577174932304084,ANGPT2,12.798006574347685
cpc017,420.9683971058543,0.0611483297046572,PROS1;EMP1,692.1463710595567,0.0577174932304084,ANGPT2,12.58617161339458
cpc007,386.1142784895618,0.0611483297046572,HEXB,626.0954814439701,0.0577174932304084,ANGPT2,12.399818754737769
cpc016,628.0896673919547,0.0611483297046572,PROS1;HEXB,353.3354529299383,0.0577174932304084,ANGPT2,12.314517873596756
cpc020,323.0507581480842,0.0611483297046572,PROS1,597.1733894173036,0.0577174932304084,ANGPT2,12.174780825255112
cpc003,169.5318022982446,0.0611483297046572,PROS1,771.8855078560287,0.0577174932304084,ANGPT2,11.789052726662582
cpc010,260.6898169568008,0.0611483297046572,HEXB,332.7292054829482,0.0577174932304084,NR4A1,11.377489799751526
