Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Compound
LINCS_L1000_Chem_Pert_down,LJP005 BT20 3H-radicicol-3.33,1/6,0.0023978589692277,0.0611483297046572,0,0,571.0571428571428,3445.2899826083253,EMP1,ljp005
LINCS_L1000_Chem_Pert_down,CPC012 VCAP 24H-BRD-K35483542-10.0,1/7,0.002797015027105,0.0611483297046572,0,0,475.8571428571428,2797.6605002155425,PROS1,cpc012
LINCS_L1000_Chem_Pert_down,CPC001 VCAP 6H-pdgf receptor tyrosine kinase inhibitor i-10.0,1/9,0.0035949086662176,0.0611483297046572,0,0,356.85714285714283,2008.4764659134423,PROS1,cpc001
LINCS_L1000_Chem_Pert_down,CPC008 VCAP 24H-ncgc00165188-01-10.0,2/35,8.27524426363012e-05,0.0611483297046572,0,0,201.6060606060606,1895.027824035605,PROS1;HEXB,cpc008
LINCS_L1000_Chem_Pert_down,CPC001 VCAP 24H-pdgf receptor tyrosine kinase inhibitor i-10.0,1/11,0.004392244396163,0.0611483297046572,0,0,285.45714285714286,1549.43708775113,PROS1,cpc001
LINCS_L1000_Chem_Pert_down,CPC014 VCAP 6H-BRD-K19540840-10.0,1/11,0.004392244396163,0.0611483297046572,0,0,285.45714285714286,1549.43708775113,PROS1,cpc014
LINCS_L1000_Chem_Pert_down,CPC001 VCAP 24H-ic 261-10.0,1/14,0.0055872022837974,0.0611483297046572,0,0,219.5494505494505,1138.8637280375192,PROS1,cpc001
LINCS_L1000_Chem_Pert_down,LJP005 BT20 3H-AZD-8330-1.11,1/15,0.0059852428364459,0.0611483297046572,0,0,203.8571428571429,1043.434298452164,EMP1,ljp005
LINCS_L1000_Chem_Pert_down,CPC006 VCAP 24H-pkcbeta inhibitor-10.0,1/16,0.0063831440708516,0.0611483297046572,0,0,190.25714285714287,961.5775796687342,PROS1,cpc006
LINCS_L1000_Chem_Pert_down,LJP006 BT20 3H-afatinib-10,1/17,0.0067809060200976,0.0611483297046572,0,0,178.35714285714286,890.6521752159383,EMP1,ljp006
LINCS_L1000_Chem_Pert_down,CPC012 VCAP 24H-cid 755673-10.0,1/17,0.0067809060200976,0.0611483297046572,0,0,178.35714285714286,890.6521752159383,PROS1,cpc012
LINCS_L1000_Chem_Pert_down,LJP006 BT20 3H-geldanamycin-0.37,1/17,0.0067809060200976,0.0611483297046572,0,0,178.35714285714286,890.6521752159383,EMP1,ljp006
LINCS_L1000_Chem_Pert_down,LJP008 A375 24H-I-BET-0.12,1/17,0.0067809060200976,0.0611483297046572,0,0,178.35714285714286,890.6521752159383,HEXB,ljp008
LINCS_L1000_Chem_Pert_down,CPC012 VCAP 6H-BRD-K71935468-10.0,1/18,0.0071785287204102,0.0611483297046572,0,0,167.85714285714286,828.6537822644398,HEXB,cpc012
LINCS_L1000_Chem_Pert_down,LJP008 A549 24H-dasatinib-0.37,1/18,0.0071785287204102,0.0611483297046572,0,0,167.85714285714286,828.6537822644398,EMP1,ljp008
LINCS_L1000_Chem_Pert_down,LJP006 BT20 3H-saracatinib-10,1/18,0.0071785287204102,0.0611483297046572,0,0,167.85714285714286,828.6537822644398,EMP1,ljp006
LINCS_L1000_Chem_Pert_down,LJP006 BT20 3H-QL-XII-47-10,1/19,0.0075760122063041,0.0611483297046572,0,0,158.52380952380952,774.0350338275504,EMP1,ljp006
LINCS_L1000_Chem_Pert_down,CPC004 HT29 6H-nocodazole-10.0,1/21,0.0083705616816055,0.0611483297046572,0,0,142.65714285714284,682.3340060288631,PROS1,cpc004
LINCS_L1000_Chem_Pert_down,CPC006 A549 6H-lenalidomide-177.6,1/21,0.0083705616816055,0.0611483297046572,0,0,142.65714285714284,682.3340060288631,PROS1,cpc006
LINCS_L1000_Chem_Pert_down,LJP006 BT20 3H-HG-6-64-01-10,1/21,0.0083705616816055,0.0611483297046572,0,0,142.65714285714284,682.3340060288631,EMP1,ljp006
