Gene,AUC_GPL16791,AUC_GSE76220,AUC_GSE122649,AUC_SRP064478,D_4eq,D_3eq,D_4n,D_3n,crit_D_4eq,crit_D_3eq,crit_D_4n,crit_D_3n
EMP1,0.7975,0.4896,0.7724,0.7679,-0.10825000000000007,-0.12053333333333338,0.0008372355430181777,0.0023985590778096144,True,True,False,False
PROS1,0.7869,0.4583,0.7853,0.875,-0.08872500000000005,-0.1302000000000001,-0.00659703808180534,-0.0075112391930836075,True,True,True,True
HEXB,0.7736,0.6042,0.7564,0.875,-0.06280000000000008,-0.09563333333333346,-0.015960930888575642,-0.017077521613833024,True,True,True,True
CKMT2,0.7643,0.8542,0.6859,0.8036,-0.03810000000000002,-0.038899999999999935,-0.02254033850493664,-0.022255907780979967,True,True,True,True
SLC37A2,0.7677,0.875,0.6891,0.7857,-0.03572500000000001,-0.029766666666666608,-0.019110860366713833,-0.018365417867435285,True,True,True,True
SOHLH2,0.7847,0.7188,0.8301,0.7857,-0.03527500000000017,-0.029166666666666785,-0.0007102961918195039,0.0004328530259365415,True,True,True,False
CLDN5,0.789,0.7031,0.7821,0.8571,-0.032275000000000054,-0.048966666666666714,0.0016420310296190177,0.0012927953890488064,True,True,False,False
FCN3,0.7877,0.7188,0.7532,0.875,-0.031425000000000036,-0.05380000000000007,-0.00025148095909743873,-0.0010285302593661116,True,True,True,True
ANGPT2,0.7693,0.8333,0.7308,0.8393,-0.021924999999999972,-0.029233333333333333,-0.015482933709449975,-0.01581757925072058,True,True,True,True
TINAGL1,0.7735,0.8438,0.8141,0.75,-0.019750000000000045,0.0034333333333332883,-0.008843864598025442,-0.007104899135446763,True,False,True,True
RHOT1P2,0.78,0.8438,0.7949,0.7857,-0.014000000000000012,-0.0007999999999999119,-0.0032868829337096006,-0.00219942363112402,True,True,True,True
SNORD97,0.7874,0.7708,0.8141,0.8393,-0.012199999999999989,-0.01626666666666665,0.0034550070521861542,0.0035296829971180887,True,True,False,False
MCEE,0.7915,0.8021,0.7885,0.8393,-0.009750000000000036,-0.013000000000000123,0.0066437235543018724,0.0067873198847261396,True,True,False,False
RPL15P11,0.768,0.8438,0.7949,0.8214,-0.008074999999999943,-0.0047999999999999154,-0.013296050775740365,-0.013196541786743565,True,True,True,True
MAP3K2-DT,0.7788,0.8438,0.7949,0.8393,-0.0009000000000000119,-0.0012000000000000899,-0.0032293370944992406,-0.003299135446685919,True,True,True,True
LOC112268270,0.7788,0.8438,0.7949,0.8393,-0.0009000000000000119,-0.0012000000000000899,-0.0032293370944992406,-0.003299135446685919,True,True,True,True
ENSG00000279656,0.7826,0.8438,0.7949,0.8393,4.999999999999449e-05,6.666666666665932e-05,0.00017940761636103808,0.00018328530259359432,False,False,False,False
MECOM,0.7822,0.8438,0.7885,0.8571,0.0027999999999999137,-0.0022000000000000908,-0.00014583921015531853,-0.0005337175792509141,False,True,True,True
HERC2P8,0.758,0.8438,0.7949,0.875,0.0028249999999999664,-0.008133333333333326,-0.021132440056417456,-0.0223608069164265,False,True,True,True
SERTAD1,0.7673,0.7812,0.8173,0.9286,0.008499999999999952,-0.0184333333333333,-0.012221297602256764,-0.01441556195965421,False,True,True,True
SMG1P5,0.7758,0.8438,0.8013,0.8929,0.013349999999999973,-6.666666666665932e-05,-0.004443441466854714,-0.005697982708933846,False,True,True,True
RPL21P75,0.7877,0.8438,0.7949,0.9107,0.019174999999999942,0.0017666666666666941,0.006264880112834881,0.004857060518731915,False,False,False,False
NR4A1,0.7573,0.8854,0.8269,0.875,0.021049999999999902,0.01616666666666655,-0.01887179125528926,-0.02005129682997142,False,False,True,True
ENSG00000280893,0.7896,0.8438,0.7949,0.9464,0.028575000000000017,0.0023999999999999577,0.008724541607898373,0.006598270893371616,False,False,False,False
VWF,0.7827,0.9479,0.8397,0.9107,0.05514999999999992,0.049733333333333296,0.007117348377996935,0.005727953890489745,False,False,False,False
