Cross-Cohort Panel LOO — Minimum Transferable Gene Set
======================================================================
Baseline (full 25-gene panel, native genes per cohort):
  Zero-shot : GSE76220=0.8438  GSE122649=0.7949  Weighted mean=0.8117
  LOO-CV    : GSE76220=0.8438  GSE122649=0.7821  Weighted mean=0.8033
  Weights: GSE76220 n=20, GSE122649 n=38, total=58

SORTED BY Δ zero-shot weighted mean (positive = dispensable):
Gene                  76?  122?    ZS_76   ZS_122    WM_ZS     Δ_ZS   LOO_76   LOO_122   WM_LOO    Δ_LOO
------------------------------------------------------------------------------------------
VWF                     Y     Y  0.9479  0.8397  0.8770  +0.0653  0.8438  0.4519    0.5870  -0.2163
NR4A1                   Y     Y  0.8854  0.8269  0.8471  +0.0354  0.8438  0.7147    0.7592  -0.0441
TINAGL1                 Y     Y  0.8438  0.8141  0.8243  +0.0126  0.8438  0.7917    0.8096  +0.0063
SMG1P5                  N     Y  0.8438  0.8013  0.8159  +0.0042  0.8438  0.7949    0.8117  +0.0084
RPL21P75                N     N  0.8438  0.7949  0.8117  +0.0000  0.8438  0.7821    0.8033  +0.0000
ENSG00000280893         N     N  0.8438  0.7949  0.8117  +0.0000  0.8438  0.7821    0.8033  +0.0000
HERC2P8                 N     N  0.8438  0.7949  0.8117  +0.0000  0.8438  0.7821    0.8033  +0.0000
MAP3K2-DT               N     N  0.8438  0.7949  0.8117  +0.0000  0.8438  0.7821    0.8033  +0.0000
ENSG00000279656         N     N  0.8438  0.7949  0.8117  +0.0000  0.8438  0.7821    0.8033  +0.0000
RHOT1P2                 N     N  0.8438  0.7949  0.8117  +0.0000  0.8438  0.7821    0.8033  +0.0000
LOC112268270            N     N  0.8438  0.7949  0.8117  +0.0000  0.8438  0.7821    0.8033  +0.0000
RPL15P11                N     N  0.8438  0.7949  0.8117  +0.0000  0.8438  0.7821    0.8033  +0.0000
MECOM                   N     Y  0.8438  0.7885  0.8075  -0.0042  0.8438  0.8013    0.8159  +0.0126
SERTAD1                 Y     Y  0.7812  0.8173  0.8049  -0.0069  0.8438  0.7853    0.8054  +0.0021
SNORD97                 Y     Y  0.7708  0.8141  0.7992  -0.0125  0.8438  0.6538    0.7193  -0.0840
MCEE                    Y     Y  0.8021  0.7885  0.7932  -0.0186  0.8750  0.7660    0.8036  +0.0003
SOHLH2                  Y     Y  0.7188  0.8301  0.7917  -0.0200  0.8438  0.7981    0.8138  +0.0105
ANGPT2                  Y     Y  0.8333  0.7308  0.7661  -0.0456  0.8438  0.8077    0.8201  +0.0168
CLDN5                   Y     Y  0.7031  0.7821  0.7548  -0.0569  0.7500  0.7949    0.7794  -0.0239
SLC37A2                 Y     Y  0.8750  0.6891  0.7532  -0.0585  0.8438  0.8045    0.8180  +0.0147
CKMT2                   Y     Y  0.8542  0.6859  0.7439  -0.0678  0.8438  0.7596    0.7886  -0.0147
FCN3                    Y     Y  0.7188  0.7532  0.7413  -0.0704  0.8438  0.7917    0.8096  +0.0063
HEXB                    Y     Y  0.6042  0.7564  0.7039  -0.1078  0.7708  0.7788    0.7761  -0.0272
EMP1                    Y     Y  0.4896  0.7724  0.6749  -0.1368  0.7396  0.7692    0.7590  -0.0443
PROS1                   Y     Y  0.4583  0.7853  0.6725  -0.1392  0.8958  0.7853    0.8234  +0.0201
