gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GO_Biological_Process_2023,prerank,Cytoplasmic Translation (GO:0002181),0.8737064420093155,3.30331874538466,0.001,0.001,0.001,84/91,9.35%,RPL39;RPL5;RPL10;RPS3A;RPS8;RPL7;RPL41;RPL17;RPS14;RPL10A;RPL22L1;RPLP1;RPS16;RPL12;RPL30;RPS17;RPS13;RPS7;RPS27A;RPLP0;RPS24;RPS25;RPS2;RPL11;RPL8;RPS20;RPL21;RPL26;RPL19;RPL27A;RPS18;RPL29;RPS10;RPL35A;RPL27;RPS6;RPS4X;EIF4A1;RPL34;RPL35;RPL13A;FAU;RPL18A;RPL23A;RPL31;RPL32;RPLP2;RPS11;RPL24;RPL22;RPS9;RPS3;RPS27;RPS23;RPL7A;RPS26;RPL4;EIF3I;RPS5;RPS21;RPL6;RPL36AL;RPL9;RPS28;RPL15;RPL26L1;ETF1;RPS19;RPS15;RPL3;RPL36;RPL37A;RPL38;RPL13;EIF3M;RPL28;RPSA;RPLP0P6;EIF4A2;UBA52;RPL14;ZC3H15;RWDD1;RPL18
GO_Biological_Process_2023,prerank,Translation (GO:0006412),0.7278964826059944,3.0566801013752913,0.001,0.001,0.001,166/213,18.78%,RPL39;EEF1A1;RPL5;RPL10;RPS3A;RPS8;RPL7;RPL41;RPL17;EEF1A1P5;RPS14;RPL10A;RPL22L1;RPLP1;RPS16;RPL12;RPL30;RPS17;RPS13;RPS7;RPS27A;RPLP0;RPS24;RPS25;RPS2;RPL11;RPL8;RPS20;RPL21;EEF1B2;RPL26;RPL19;RPL27A;RPS18;RPL29;RPS10;RPL35A;RPL27;RPS6;RPS4X;RPL34;EEF1G;RPL35;RPL13A;FAU;RPL18A;RPL23A;RPL31;RPL32;MRPS28;RPLP2;RPS11;RPL24;MRPL3;RPL22;RPS9;RPS3;RPS27;MRPL51;RPS23;RPL7A;MRPL13;RPS26;DARS1;RPL4;MRPL33;RPS5;RPS21;RPL6;RPL36AL;RPL9;RPS28;RPL15;RPL26L1;ETF1;CHCHD1;RPS19;MRPL47;MRPS6;RPS15;RPL3;RPL36;RPL37A;ABCE1;RPL38;MRPL58;MRPL34;NDUFA7;MRPL24;RPL13;MRPL44;RPL28;RPSA;MRPL19;RPLP0P6;EPRS1;UBA52;RPL14;MRPS33;MRPL36;MRPL54;GADD45GIP1;ZC3H15;MRPL1;WARS2;MRPL11;MRPL18;MRPS22;PABPC4;MRPL40;MRPL9;RWDD1;MRPL57;RPL18;EIF5A2;MRPS10;MRPS14;MRPS12;SRBD1;TUFM;MRPL17;MRPS24;MRPL20;COPS5;IARS2;MRPL39;RPS29;MRPS21;MRPS18C;MRPL48;WARS1;QARS1;DRG1;MRPS9;MRPL14;MRPL52;AURKAIP1;SARS1;HBS1L;RARS1;GATC;IGF2BP3;GARS1;GFM2;MRPL22;MRPL16;IARS1;MRPL12;MRPL43;MRPS34;QRSL1;MRPS16;MRPS15;MRPS27;MRPL37;MRPL30;MRPL50;MRPL49;MRPS7;MRPL2;MRPL27;RARS2;MRPL46;FARSB;FTSJ1;MRPL55
GO_Biological_Process_2023,prerank,Peptide Biosynthetic Process (GO:0043043),0.7181770213794074,2.9296818274785377,0.001,0.001,0.001,108/150,16.53%,RPL39;EEF1A1;RPL5;RPL10;RPS3A;RPS8;RPL7;RPL41;RPL17;EEF1A1P5;RPS14;RPL10A;RPLP1;RPS16;RPL12;RPL30;RPS17;RPS13;RPS7;RPS27A;RPLP0;RPS24;RPS25;RPS2;RPL11;RPL8;RPS20;RPL21;RPL26;RPL19;RPL27A;RPS18;RPL29;RPS10;RPL35A;RPL27;RPS6;RPS4X;RPL34;RPL35;RPL13A;FAU;RPL18A;RPL23A;RPL31;RPL32;RPLP2;RPS11;RPL24;MRPL3;RPL22;RPS9;RPS3;RPS27;MRPL51;RPS23;RPL7A;MRPL13;RPS26;DARS1;RPL4;RPS5;RPS21;RPL6;RPL36AL;RPL9;RPS28;RPL15;RPS19;MRPS6;RPS15;RPL3;RPL36;RPL37A;RPL38;MRPL34;MRPL24;RPL13;RPL28;RPSA;RPL14;MRPS33;MRPL36;MRPL11;MRPL18;PABPC4;MRPL9;RPL18;MRPS14;MRPS12;SRBD1;GGT5;COPS5;RPS29;MRPS21;MRPS18C;WARS1;MRPL14;MRPL52;PCSK5;SARS1;HBS1L;IGF2BP3;MRPL12;MRPL43;MRPS16;MRPS15;MRPL37
GO_Biological_Process_2023,prerank,Macromolecule Biosynthetic Process (GO:0009059),0.7055969024352462,2.9070658898008674,0.001,0.001,0.001,119/170,16.53%,RPL39;EEF1A1;RPL5;RPL10;RPS3A;RPS8;RPL7;RPL41;RPL17;EEF1A1P5;RPS14;RPL10A;RPLP1;RPS16;RPL12;RPL30;RPS17;RPS13;RPS7;RPS27A;RPLP0;RPS24;RPS25;RPS2;RPL11;RPL8;RPS20;RPL21;EEF1B2;RPL26;RPL19;RPL27A;RPS18;RPL29;RPS10;RPL35A;RPL27;RPS6;RPS4X;RPL34;EEF1G;RPL35;RPL13A;FAU;RPL18A;RPL23A;RPL31;RPL32;RPLP2;RPS11;RPL24;MRPL3;RPL22;RPS9;RPS3;RPS27;MRPL51;RPS23;RPL7A;MRPL13;RPS26;DARS1;APOE;RPL4;RPS5;RPS21;RPL6;RPL36AL;RPL9;RPS28;RPL15;INHBA;RPS19;MRPS6;RPS15;RPL3;RPL36;RPL37A;RPL38;SLC11A1;MRPL34;MRPL24;RPL13;EIF4G2;RPL28;RPSA;RPL14;MRPS33;MRPL36;TYMS;GOLPH3;MRPL11;MRPL18;PABPC4;MRPL9;GAL3ST4;RPL18;EIF5A2;MRPS14;MRPS12;SRBD1;TUFM;COPS5;RPS29;MRPS21;MRPS18C;WARS1;MRPL14;MRPL52;SARS1;HBS1L;IGF2BP3;POLD2;MRPL12;MRPL43;MRPS16;MRPS15;ALAS1;MRPL37
GO_Biological_Process_2023,prerank,Positive Regulation Of Cytokine Production (GO:0001819),0.6084860464999915,2.669729442668353,0.001,0.001,0.001,148/285,16.91%,FCER1G;TYROBP;CYP1B1;LAPTM5;TLR1;TMED10;CASP1;IFI16;TLR2;PTPRC;HLA-DPA1;CD58;LILRA2;CD74;TLR7;CD86;CYBA;HPSE;IL10;TLR5;CLEC7A;CD14;CD28;F2RL1;LCP1;IL18;F2R;HIF1A;PIK3CG;SCIMP;XBP1;TLR6;IL33;SPHK1;TLR3;HLA-A;CD4;TSLP;SULF1;WNT5A;BATF;C3;HMOX1;RPS3;IL1R1;SYK;HSPD1;TANK;CD80;MYDGF;SOD1;IL1A;ALOX15B;PNP;TGFB1;LGALS9;LILRB2;CEBPB;CNTN1;HHLA2;TIGIT;CGAS;RUNX1;PTGER4;TRIM6;PARK7;IRF5;RAB1A;IL1B;DDX3X;SLC11A1;HMGB1;CCR7;STAT3;CSF1R;EBI3;TRAF3IP3;CCR2;FGR;ADIPOQ;CEBPG;NFAM1;S100A13;SERPINE1;CD2;OSM;SLAMF1;CLEC9A;PLCG2;STOML2;DDIT3;CD226;FADD;ATF4;XCL1;AGT;C1QTNF3;MYD88;PTPN11;DHX9;G3BP1;TLR4;EHHADH;LACC1;EIF2AK3;IRF4;CCL19;MAP3K7;GATA3;PHB1;APPL1;CD274;RAB2B;STING1;GAPDH;IL12RB1;PDE4B;SLAMF6;CD46;TBK1;CYRIB;SAA1;IFNG;IL23A;ZP3;BCL10;SORL1;BTN3A2;HTR2B;IL15;EIF2AK2;IFIH1;CLEC6A;CLECL1P;JAK2;EREG;LY9;NR1H4;CD40;MDK;CD244;TWIST1;CD200;IL2;APP;FLOT1;TNF;ITK
GO_Biological_Process_2023,prerank,Gene Expression (GO:0010467),0.6115633748234106,2.665394013053494,0.001,0.001,0.001,159/279,19.55%,RPL39;EEF1A1;RPL5;RPL10;RPS3A;CASP1;RPS8;RPL7;RPL41;RPL17;EEF1A1P5;RPS14;RPL10A;RPLP1;RPS16;RPL12;RPL30;RPS17;RPS13;RPS7;RPS27A;RPLP0;RPS24;RPS25;RPS2;RPL11;RPL8;RPS20;RPL21;RPL26;RPL19;RPL27A;RPS18;RPL29;RPS10;RPL35A;RPL27;RPS6;RPS4X;RPL34;RPL35;RPL13A;FAU;RPL18A;HNRNPF;RPL23A;RPL31;RPL32;RPLP2;RPS11;RPL24;CASP4;MRPL3;RPL22;RPS9;RPS3;RPS27;MRPL51;RPS23;HHEX;RPL7A;MRPL13;RPS26;DARS1;RPL4;CASP8;HSPD1;RPS5;RPS21;RPL6;RPL36AL;RPL9;RPS28;RPL15;SARNP;RPS19;MRPS6;RPS15;KPNA4;RPL3;RPL36;RPL37A;RNASEL;RPL38;ENPP1;MRPL34;CASP7;RBMS1;MRPL24;RPL13;HNRNPK;RPL28;RPSA;NCBP2;FYTTD1;RPL14;MRPS33;MRPL36;AGFG1;TSPAN33;XRN2;GOLPH3;MRPL11;MRPL18;PABPC4;DKC1;MRPL9;DNTTIP2;EXOSC8;RPL18;EIF4A3;MRPS14;MRPS12;DNAJB11;MAGOH;SRBD1;THOC7;SRSF3;COPS5;RPS29;MRPS21;MRPS18C;EXOSC5;WARS1;SORL1;EXOSC4;MRPL14;HNRNPH3;MRPL52;XPO1;MBTPS2;SARS1;HBS1L;SNRNP40;IGF2BP3;EXOSC7;PRPF4;CASP3;RBPMS;MRPL12;MRPL43;RBM8A;MRPS16;MRPS15;MRPL37;NUP133;ABCC6;MRPS7;ALYREF;M1AP;MRPL27;NUFIP1;DIS3;FARSB;MRPL55;DDX20;SETX;HNRNPD;MPHOSPH10
GO_Biological_Process_2023,prerank,Cellular Respiration (GO:0045333),0.7048744057968176,2.6325976608192483,0.001,0.001,0.001,67/83,21.84%,NDUFA2;NDUFB3;NDUFB6;ETFRF1;BLOC1S1;COX7A2;COX7C;NDUFS4;NDUFS6;SDHB;NDUFB2;NDUFA1;UQCRQ;COX6C;ETFA;NDUFAB1;NDUFB1;NDUFC1;NDUFA7;NDUFA6;NDUFV2;COX8A;NDUFB4;UQCR10;NDUFA13;NDUFC2;NDUFA12;UQCR11;OXA1L;UQCRFS1;UQCRH;MTLN;NDUFB7;COX6B1;NDUFS3;MTFR1;NDUFA3;UQCRB;COX5A;COX5B;COX6A1;NDUFA5;COX7B;NDUFA8;NDUFB10;SURF1;NDUFS5;NDUFB9;UQCRC2;NDUFB11;SDHAF4;NDUFB5;CYCS;UQCRC1;SLC25A13;COX4I1;LYRM7;COX15;CHCHD5;ETFB;MDH2;NDUFA11;MTFR2;CYC1;SDHA;NDUFS2;NDUFS8
GO_Biological_Process_2023,prerank,Inflammatory Response (GO:0006954),0.6195318439877376,2.604812178419519,0.001,0.001,0.001,129/206,20.50%,CCL18;LYZ;CCL2;CCR1;TLR1;CCRL2;TLR2;TNFAIP6;FPR1;C3AR1;CD44;CYBB;SERPINA3;CYBA;OLR1;TLR5;TNFRSF1A;CD14;ITGB2;CXCL5;FCGR2B;CCR5;IL18;C5AR1;F2R;PIK3CG;FPR3;TLR6;TPST1;TLR3;WNT5A;PTGFR;CXCL6;THBS1;LY75;VNN1;CMKLR1;CXCR4;IL1A;CCL13;TMIGD3;TGFB1;LGALS9;TLR10;CEBPB;VCAM1;PTGER4;PTGER2;TAB2;CCL20;IL1B;XCL2;ODAM;SLC11A1;KRT16;HMGB1;CCR7;STAT3;ADGRE5;CSF1R;CCR2;BMP2;CCL23;F11R;CCL8;RAC1;NFAM1;PJA2;NLRC4;CHUK;FOLR2;AGTR1;PRDX5;NRROS;HSPG2;BLNK;TAC1;ITCH;CDO1;LOXL3;XCL1;ITGAL;CCL5;HP;TLR4;IL10RB;CD96;CCL19;ADCY8;MAP3K7;NFKB2;GATA3;CCL26;GGT5;TBK1;IFNG;SELE;CIITA;CCL14;SIGLEC1;CCL3;ADM;CXCL8;KIT;FPR2;CD40;TAC4;CCL21;CCL24;CXCR2;CRHBP;TNF;PLA2G2D;HNRNPA0;NFKB1;PTGER3;CXCL9;FOS;CCL4;CCL7;GPR33;CXCL3;PROK2;NAIP;PTGIR;NLRP6;CXCL2;REL;TRAF3IP2
GO_Biological_Process_2023,prerank,Cellular Response To Lipopolysaccharide (GO:0071222),0.6682379941484036,2.5925989429265113,0.001,0.001,0.001,56/103,14.05%,LY96;CCL2;CD68;CASP1;CD86;HCK;VIM;IL10;RHOA;CD14;CXCL5;CCR5;IL18;GSTP1;XBP1;UXT;WNT5A;ADAM9;CXCL6;TNFRSF1B;CHMP5;PDCD1LG2;GBP2;CD80;PEX2;IL1A;GBP3;TGFB1;LILRB2;HMGB2;IL1B;AXL;HMGB1;CASP7;ANKRD1;SELENOS;SERPINE1;TNFAIP3;PLCG2;MTDH;MYD88;CCL5;PLAA;TLR4;EHHADH;PDCD4;NR1H3;CD274;PDE4B;ZFP36;TNIP2;CX3CR1;BCL10;CTR9;CCL3;CXCL8
GO_Biological_Process_2023,prerank,Positive Regulation Of Inflammatory Response (GO:0050729),0.6726553304093563,2.5884938259186043,0.001,0.001,0.001,58/91,19.79%,VAMP8;CASP1;PLA2G7;TLR2;TLR7;TNFRSF1A;GRN;LCP1;IL18;IL33;VAMP7;OSMR;TLR3;TSLP;LGALS1;WNT5A;CASP4;CD81;CEBPA;RPS19;PTGER4;NINJ1;GPSM3;IL1B;MGST2;NUPR1;SNX4;CCR2;KARS1;NLRC4;SERPINE1;AGTR1;OSM;NFKBIA;PLCG2;DDT;PLA2G2A;AGT;DHX9;TLR4;EHHADH;NLRP12;IFI35;NLRP1;PDCD4;IFNG;IL23A;ZP3;IL15;CCL3;MDK;IL2;APP;TNF;C2CD4B;NFKBIZ;NAIP;NLRP6
