,ast,end,mic,neu,oli,opc,group
GSM4659645,-1.297527,-1.1268165,-1.523991,-0.05147788,-1.429732,-1.7034483,ALS
GSM4659646,-0.3924431,-0.12074106,-0.74498516,0.9573193,-1.2689643,-0.74812275,Control
GSM4659647,-0.7473734,-0.38401258,-0.68962306,0.8610789,-1.3841758,-0.7989486,Control
GSM4659648,-0.46934888,1.0917728,0.7441936,-0.5298021,0.98380834,0.5297158,Control
GSM4659649,-0.4831307,1.5773488,0.8412582,-0.4877843,0.5460397,0.5215462,Control
GSM4659650,-1.5654635,1.2090733,-1.3216383,0.1449508,-1.522632,-0.5299612,Control
GSM4659651,-0.25562638,0.2263648,0.95259875,-1.27048,0.9060468,0.44043806,Control
GSM4659652,-0.10173363,0.18809713,0.9602488,-1.2564448,0.87988174,0.49391505,Control
GSM4659653,0.29955548,0.8126334,0.615058,0.39023975,0.7254507,0.78899115,ALS
GSM4659654,-1.6252974,-1.041146,-1.4753978,-0.2608237,-1.7855816,-1.9113305,Control
GSM4659655,-0.16867693,0.013937695,0.66729033,-1.2359856,0.9514325,0.23460013,Control
GSM4659656,-0.046449978,0.23202068,0.6878483,-0.9439837,0.8902825,0.34888297,Control
GSM4659657,-0.002271969,0.20402238,-0.26296782,0.60413164,-0.31334868,-0.3518029,ALS
GSM4659659,-0.90514535,0.72668403,-0.21178244,-0.85088325,-0.1013861,-0.49849898,ALS
GSM4659660,-0.20213595,0.5121191,1.3697668,-1.2987301,0.7311129,0.68740404,ALS
GSM4659661,0.004727654,1.1823403,1.8988323,-0.85074383,0.7670725,0.8713831,ALS
GSM4659662,-0.6557205,-0.30703557,-0.4896601,0.70417506,-1.2384112,-0.7881083,Control
GSM4659663,-0.5646663,0.015302598,-0.5595908,0.30130854,-0.2553074,0.029799897,Control
GSM4659664,-3.095461,-1.5023018,-1.78557,-0.4088512,-2.448703,-2.5018098,Control
GSM4659665,-0.73887444,1.1184648,0.07661114,-0.50493366,0.9332824,0.42276737,Control
GSM4659666,-0.8098641,-0.040105086,-0.5927355,0.71407205,-0.8549588,-0.7557414,ALS
GSM4659667,-0.97666,0.15995376,-0.34373406,0.82615024,-0.57564205,-0.5846329,ALS
GSM4659668,-1.9278522,-0.87294364,-1.1491543,-0.1251344,-1.9113733,-1.8653494,ALS
GSM4659669,-0.46379492,0.64294857,1.5356187,-0.7014871,0.7726994,0.3878306,ALS
GSM4659670,-0.45476222,1.2421595,1.2444952,-0.6598003,0.75302756,0.5452616,ALS
GSM4659671,0.026506864,0.2708065,-0.44394514,0.40711483,-0.6590227,-0.44254965,Control
GSM4659672,0.49356624,0.93680334,0.120673046,0.35167542,-0.78613937,-0.17410663,Control
GSM4659673,-1.8174498,-0.58587337,-1.1322137,-0.36090648,-1.3356228,-1.6517981,Control
GSM4659674,-0.06565764,-0.3048112,-0.79747814,0.7567815,-1.0414858,-0.71122843,ALS
GSM4659675,0.38178897,0.12226607,-0.25923395,0.89646345,-0.6648414,-0.22708873,ALS
