panel_gene,panel_dir,substitute,pearson_r,subst_auc,dgidb_n,approved_drugs,withdrawn,favourable_dir,favourable_approved,score
CKMT2,down,ABL1,0.65,0.9452,143,ACYCLOVIR|ADENOSINE TRIPHOSPHATE|APOMORPHINE|APRACLONIDINE,,True,APOMORPHINE|APRACLONIDINE|BRIMONIDINE,6.945
CKMT2,down,ACTN4,0.64,0.9486,12,,,True,,3.949
CKMT2,down,BACE1,0.66,0.9466,26,,,False,,1.947
CKMT2,down,SEMA4D,0.67,0.9451,3,,,False,,1.545
CKMT2,down,IPO13,0.69,0.9467,1,,,False,,1.147
CKMT2,down,FMNL2,0.69,0.9508,0,,,False,,0.951
CKMT2,down,CANT1,0.65,0.9478,0,,,False,,0.948
CKMT2,down,SCAMP4,0.68,0.9466,0,,,False,,0.947
CKMT2,down,HHATL,0.67,0.9474,0,,,False,,0.947
CKMT2,down,PAQR8,0.69,0.9459,0,,,False,,0.946
CKMT2,down,FAM124A,0.67,0.946,0,,,False,,0.946
CKMT2,down,TMEM185B,0.66,0.9461,0,,,False,,0.946
CKMT2,down,GLTP,0.63,0.9455,0,,,False,,0.946
CKMT2,down,SLC48A1,0.73,0.9449,0,,,False,,0.945
CKMT2,down,MVB12B,0.69,0.945,0,,,False,,0.945
CKMT2,down,SNX18,0.67,0.945,0,,,False,,0.945
CKMT2,down,COLGALT2,0.63,0.945,0,,,False,,0.945
CLDN5,down,ATP10A,0.53,0.9455,2,CLOPIDOGREL|DULOXETINE HYDROCHLORIDE,,False,,3.345
CLDN5,down,TMEM204,0.56,0.9459,0,,,False,,0.946
CLDN5,down,CLEC14A,0.53,0.9457,0,,,False,,0.946
CLDN5,down,USHBP1,0.52,0.9464,0,,,False,,0.946
CLDN5,down,KANK3,0.61,0.9451,0,,,False,,0.945
CLDN5,down,SRARP,0.58,0.9453,0,,,False,,0.945
CLDN5,down,VWA2,0.51,0.945,0,,,False,,0.945
HEXB,up,NPM1,0.87,0.9518,7,CERITINIB|CRIZOTINIB|DAUNORUBICIN LIPOSOMAL|MIDOSTAURIN,,True,CERITINIB|CRIZOTINIB,6.952
HEXB,up,AKR1B1,0.89,0.9474,13,EPALRESTAT|SULINDAC|TOLRESTAT,,True,EPALRESTAT|TOLRESTAT,6.947
HEXB,up,RPL5,0.87,0.9495,5,ATALUREN,,True,,5.95
HEXB,up,CTSB,0.87,0.952,4,BORTEZOMIB|COUMARIN|UREA,,True,,5.752
HEXB,up,CTSL,0.89,0.9494,4,BORTEZOMIB,,False,,3.749
HEXB,up,GLB1,0.88,0.9503,2,,,True,,3.35
HEXB,up,GDI2,0.88,0.9538,1,,,True,,3.154
HEXB,up,BTF3,0.89,0.9533,1,,,True,,3.153
HEXB,up,M6PR,0.87,0.9514,1,ALPHA GLUCOSIDASE,,False,,3.151
HEXB,up,CANX,0.87,0.9509,1,,,False,,1.151
HEXB,up,DHRS7,0.89,0.9536,0,,,False,,0.954
HEXB,up,MFSD1,0.88,0.9537,0,,,False,,0.954
HEXB,up,CDV3,0.88,0.9543,0,,,False,,0.954
HEXB,up,CAPZA1,0.88,0.9542,0,,,False,,0.954
HEXB,up,SCP2,0.88,0.9541,0,,,False,,0.954
HEXB,up,LYSET,0.87,0.9543,0,,,False,,0.954
HEXB,up,GNS,0.9,0.9532,0,,,False,,0.953
HEXB,up,SEC61B,0.87,0.9528,0,,,False,,0.953
HEXB,up,EIF2S3,0.87,0.9527,0,,,False,,0.953
HEXB,up,TRAPPC3,0.88,0.9524,0,,,False,,0.952
HEXB,up,AIDA,0.87,0.9519,0,,,False,,0.952
HEXB,up,PSAP,0.9,0.9508,0,,,False,,0.951
HEXB,up,ARPC3,0.89,0.9513,0,,,False,,0.951
HEXB,up,NOP10,0.88,0.9508,0,,,False,,0.951
HEXB,up,RPN2,0.88,0.9507,0,,,False,,0.951
HEXB,up,ARF4,0.87,0.9508,0,,,False,,0.951
HEXB,up,FUCA1,0.9,0.9501,0,,,False,,0.95
HEXB,up,EIF3H,0.88,0.9491,0,,,False,,0.949
HEXB,up,TMEM14C,0.87,0.9494,0,,,False,,0.949
HEXB,up,ADAM9,0.87,0.9489,0,,,False,,0.949
MCEE,up,HMGB1,0.83,0.9481,19,AMPICILLIN (ANHYDROUS)|BIFONAZOLE|CHLORAMPHENICOL|CISPLATIN,,True,BIFONAZOLE,6.948
MCEE,up,RRM1,0.84,0.9469,17,CARBOPLATIN|CISPLATIN|CLADRIBINE|CLOFARABINE,,True,CLOFARABINE|FLUDARABINE|GALLIUM NITRATE,6.947
MCEE,up,SNW1,0.86,0.9493,1,,,False,,1.149
MCEE,up,RPA1,0.83,0.9467,1,,,False,,1.147
MCEE,up,PCBP2,0.84,0.9496,0,,,False,,0.95
MCEE,up,COMMD3,0.84,0.9497,0,,,False,,0.95
MCEE,up,SRP54,0.83,0.9504,0,,,False,,0.95
MCEE,up,TXNDC15,0.83,0.9495,0,,,False,,0.949
MCEE,up,SNRNP40,0.85,0.9482,0,,,False,,0.948
MCEE,up,CWC15,0.84,0.9475,0,,,False,,0.948
MCEE,up,SKIC8,0.83,0.9482,0,,,False,,0.948
