rank,feature,symbol,mean_abs_shap,loo_delta_auc,univariate_auc,log2fc,direction,mean_expr_als,mean_expr_ctrl,mwu_pvalue,mwu_padj,auc_Cerebellum,auc_Cortex_Frontal,auc_Cortex_Motor_Lateral,auc_Cortex_Motor_Medial,auc_Cortex_Motor_Unspecified,auc_Cortex_Occipital,auc_Cortex_Temporal,auc_Hippocampus,auc_Spinal_Cord_Cervical,auc_Spinal_Cord_Lumbar
1,ENSG00000085276.18,MECOM,0.5511075131646445,0.0011,0.6602,-0.5809,down_in_ALS,181.405,271.3368,1.365e-11,3.1023e-11,0.5547996976568406,0.6177285318559557,0.6380789022298456,0.5562499999999999,0.5972222222222222,0.6285714285714286,0.7136363636363636,0.7045454545454546,0.7578655927510697,0.7131782945736433
2,ENSG00000261599.6,HERC2P8,0.5287764686567472,0.0006,0.6912,-1.1774,down_in_ALS,9.9631,22.5338,6.8416e-16,2.8506e-15,0.7173091458805745,0.7052169898430286,0.653516295025729,0.6458333333333334,0.6689814814814815,0.5285714285714286,0.6363636363636364,0.625,0.7145733702491819,0.7019027484143764
3,ENSG00000183604.14,SMG1P5,0.5111006032657813,0.0008,0.5056,-0.1378,down_in_ALS,1174.0041,1291.6541,0.81242,0.81242,0.5298563869992441,0.5574792243767313,0.5608919382504288,0.7520833333333333,0.5833333333333333,0.8285714285714285,0.6227272727272728,0.6113636363636363,0.5167379813742764,0.5355884425651868
4,ENSG00000197019.5,SERTAD1,0.4029158058371479,0.0038,0.6844,0.1285,up_in_ALS,124.076,113.5,7.0699e-15,2.525e-14,0.6681783824640968,0.6163434903047091,0.5591766723842195,0.6270833333333333,0.826388888888889,0.9571428571428571,0.5363636363636364,0.7,0.7578655927510697,0.7716701902748414
5,ENSG00000213860.4,RPL21P75,0.3698625795471374,0.0018,0.6491,1.0601,up_in_ALS,1.352,0.6484,3.1111e-10,5.9828e-10,0.6107331821617537,0.6638965835641737,0.6329331046312179,0.7770833333333333,0.662037037037037,0.7142857142857143,0.6477272727272727,0.6477272727272727,0.7742260256732947,0.6737138830162086
6,ENSG00000142748.12,FCN3,0.3075858176690467,0.002,0.6126,0.3074,up_in_ALS,6.7149,5.4263,1.9815e-06,3.0961e-06,0.6198034769463341,0.6484302862419206,0.6655231560891939,0.5583333333333333,0.6689814814814815,0.8714285714285714,0.6863636363636364,0.6431818181818182,0.6393153788069469,0.5264270613107822
7,ENSG00000184500.15,PROS1,0.2938826099188049,0.0004,0.7649,0.8229,up_in_ALS,364.1842,205.8736,4.8266e-29,1.2067e-27,0.6870748299319729,0.6491228070175439,0.8610634648370498,0.8291666666666666,0.8611111111111112,0.8142857142857143,0.6613636363636364,0.7340909090909091,0.808205386357916,0.9006342494714588
8,ENSG00000091879.13,ANGPT2,0.2926167526370337,0.0012,0.5986,-0.4798,down_in_ALS,178.9167,249.5105,3.1664e-05,4.6565e-05,0.5026455026455027,0.6045706371191135,0.5317324185248713,0.51875,0.7916666666666667,0.5,0.7045454545454546,0.7204545454545455,0.6473697457840423,0.6300211416490487
9,ENSG00000236682.1,MAP3K2-DT,0.2897163340582234,-0.0002,0.5421,-0.0418,down_in_ALS,37.2018,38.2947,0.07534,0.089691,0.5804988662131519,0.5193905817174516,0.5969125214408233,0.5104166666666665,0.5717592592592593,0.5142857142857142,0.6045454545454546,0.6000000000000001,0.6795872136924238,0.5943152454780363
10,ENSG00000134531.10,EMP1,0.2836625992119038,0.002,0.7402,0.8396,up_in_ALS,1177.4342,657.9421,3.6953e-24,1.8477e-23,0.8034769463340892,0.6805170821791321,0.8679245283018868,0.7583333333333333,0.8472222222222222,0.7142857142857142,0.7022727272727273,0.7022727272727272,0.7905864585955198,0.7942212825933757
11,ENSG00000238622.1,SNORD97,0.2599351019600274,-0.001,0.5698,0.0798,up_in_ALS,3.8173,3.6119,0.0031933,0.0042017,0.5555555555555556,0.5073868882733148,0.5385934819897084,0.59375,0.5671296296296297,0.5571428571428572,0.6,0.5613636363636363,0.6237100427888246,0.6793516560958421
12,ENSG00000142910.16,TINAGL1,0.2574209323971427,0.0021,0.5198,-0.2825,down_in_ALS,300.5512,365.5684,0.40316,0.45813,0.5374149659863946,0.5120036934441367,0.5711835334476844,0.6104166666666667,0.5046296296296295,0.7571428571428571,0.575,0.5318181818181819,0.5079285174930783,0.5987784824994127
13,ENSG00000131730.16,CKMT2,0.2499366344527574,0.0029,0.5891,-0.5977,down_in_ALS,94.6389,143.2158,0.00016774,0.00023298,0.544973544973545,0.6512003693444137,0.8404802744425386,0.7416666666666667,0.5,0.7000000000000001,0.5818181818181818,0.5613636363636363,0.5482003523785552,0.6145172656800564
