panel_symbol,panel_ensg,candidate_ensg,source,pearson_r,pearson_p_raw,replacement_auc,delta_vs_baseline,is_replacement
MECOM,ENSG00000085276,ENSG00000120279,correlation,0.5756520628929138,2.8179574486471326e-78,0.946513,-0.000385,True
MECOM,ENSG00000085276,ENSG00000180229,correlation,0.5336360335350037,1.7461918034959835e-65,0.95106,0.004162,True
MECOM,ENSG00000085276,ENSG00000165816,correlation,0.5309898853302002,9.740692979894176e-65,0.948821,0.001923,True
MECOM,ENSG00000085276,ENSG00000066056,correlation,0.5254070162773132,3.483718460455103e-63,0.949433,0.002535,True
MECOM,ENSG00000085276,ENSG00000176435,correlation,0.5173167586326599,5.5261985139748695e-61,0.95105,0.004152,True
MECOM,ENSG00000085276,ENSG00000037280,correlation,0.5034281015396118,2.4233830031614466e-57,0.948015,0.001117,True
MECOM,ENSG00000085276,ENSG00000138795,correlation,0.5010773539543152,9.647286849220424e-57,0.948286,0.001388,True
MECOM,ENSG00000085276,ENSG00000286065,shap,,,0.951405,0.004507,True
MECOM,ENSG00000085276,ENSG00000268388,shap,,,0.94949,0.002592,True
MECOM,ENSG00000085276,ENSG00000255769,shap,,,0.953417,0.006519,True
MECOM,ENSG00000085276,ENSG00000131981,shap,,,0.948446,0.001548,True
MECOM,ENSG00000085276,ENSG00000203620,shap,,,0.949481,0.002583,True
MECOM,ENSG00000085276,ENSG00000260644,shap,,,0.947326,0.000428,True
MECOM,ENSG00000085276,ENSG00000269296,shap,,,0.961153,0.014255,True
MECOM,ENSG00000085276,ENSG00000244414,shap,,,0.94994,0.003042,True
MECOM,ENSG00000085276,ENSG00000285578,shap,,,0.951405,0.004507,True
MECOM,ENSG00000085276,ENSG00000103023,shap,,,0.947593,0.000695,True
MECOM,ENSG00000085276,ENSG00000263755,shap,,,0.962753,0.015855,True
MECOM,ENSG00000085276,ENSG00000254681,shap,,,0.952496,0.005598,True
MECOM,ENSG00000085276,ENSG00000125954,shap,,,0.946717,-0.000181,True
MECOM,ENSG00000085276,ENSG00000261798,shap,,,0.94918,0.002282,True
MECOM,ENSG00000085276,ENSG00000260776,shap,,,0.948566,0.001668,True
MECOM,ENSG00000085276,ENSG00000136235,shap,,,0.949865,0.002967,True
MECOM,ENSG00000085276,ENSG00000230663,shap,,,0.948912,0.002014,True
MECOM,ENSG00000085276,ENSG00000141682,shap,,,0.95003,0.003132,True
MECOM,ENSG00000085276,ENSG00000229828,shap,,,0.94975,0.002852,True
MECOM,ENSG00000085276,ENSG00000230178,shap,,,0.95183,0.004932,True
MECOM,ENSG00000085276,ENSG00000259846,shap,,,0.950291,0.003393,True
MECOM,ENSG00000085276,ENSG00000248668,shap,,,0.951835,0.004937,True
MECOM,ENSG00000085276,ENSG00000249961,shap,,,0.947797,0.000899,True
MECOM,ENSG00000085276,ENSG00000250252,shap,,,0.965236,0.018338,True
MECOM,ENSG00000085276,ENSG00000007038,shap,,,0.953098,0.0062,True
MECOM,ENSG00000085276,ENSG00000132518,shap,,,0.948259,0.001361,True
MECOM,ENSG00000085276,ENSG00000134184,shap,,,0.947836,0.000938,True
MECOM,ENSG00000085276,ENSG00000236908,shap,,,0.947066,0.000168,True
MECOM,ENSG00000085276,ENSG00000237027,shap,,,0.947004,0.000106,True
MECOM,ENSG00000085276,ENSG00000235162,shap,,,0.947218,0.00032,True
MECOM,ENSG00000085276,ENSG00000169245,shap,,,0.949137,0.002239,True
MECOM,ENSG00000085276,ENSG00000284931,shap,,,0.951529,0.004631,True
MECOM,ENSG00000085276,ENSG00000182974,shap,,,0.95014,0.003242,True
MECOM,ENSG00000085276,ENSG00000154760,shap,,,0.952486,0.005588,True
MECOM,ENSG00000085276,ENSG00000282419,shap,,,0.947461,0.000563,True
MECOM,ENSG00000085276,ENSG00000279414,shap,,,0.949332,0.002434,True
MECOM,ENSG00000085276,ENSG00000151632,shap,,,0.951988,0.00509,True
MECOM,ENSG00000085276,ENSG00000230267,shap,,,0.94934,0.002442,True
MECOM,ENSG00000085276,ENSG00000260653,shap,,,0.945159,-0.00174,True
MECOM,ENSG00000085276,ENSG00000237624,shap,,,0.956094,0.009196,True
MECOM,ENSG00000085276,ENSG00000166275,shap,,,0.94968,0.002782,True
MECOM,ENSG00000085276,ENSG00000285807,shap,,,0.965039,0.018141,True
MECOM,ENSG00000085276,ENSG00000196684,shap,,,0.944255,-0.002643,False
MECOM,ENSG00000085276,ENSG00000073737,shap,,,0.952647,0.005749,True
MECOM,ENSG00000085276,ENSG00000266524,shap,,,0.949138,0.002239,True
MECOM,ENSG00000085276,ENSG00000178562,shap,,,0.949566,0.002668,True
MECOM,ENSG00000085276,ENSG00000272832,shap,,,0.950415,0.003517,True
MECOM,ENSG00000085276,ENSG00000275803,shap,,,0.949709,0.002811,True
MECOM,ENSG00000085276,ENSG00000204592,shap,,,0.949823,0.002925,True
MECOM,ENSG00000085276,ENSG00000176533,shap,,,0.952517,0.005619,True
MECOM,ENSG00000085276,ENSG00000280828,shap,,,0.948902,0.002004,True
MECOM,ENSG00000085276,ENSG00000185291,both,,,0.949869,0.002971,True
MECOM,ENSG00000085276,ENSG00000257702,shap,,,0.951251,0.004353,True
MECOM,ENSG00000085276,ENSG00000279058,shap,,,0.9464,-0.000498,True
MECOM,ENSG00000085276,ENSG00000128918,shap,,,0.949101,0.002203,True
MECOM,ENSG00000085276,ENSG00000162366,shap,,,0.947298,0.0004,True
MECOM,ENSG00000085276,ENSG00000159618,shap,,,0.952484,0.005586,True
MECOM,ENSG00000085276,ENSG00000223821,shap,,,0.965961,0.019063,True
MECOM,ENSG00000085276,ENSG00000272619,shap,,,0.95069,0.003792,True
MECOM,ENSG00000085276,ENSG00000233579,shap,,,0.952683,0.005785,True
MECOM,ENSG00000085276,ENSG00000232332,shap,,,0.950755,0.003857,True
MECOM,ENSG00000085276,ENSG00000260300,shap,,,0.953534,0.006636,True
MECOM,ENSG00000085276,ENSG00000203883,shap,,,0.946409,-0.00049,True
MECOM,ENSG00000085276,ENSG00000118777,shap,,,0.950874,0.003976,True
MECOM,ENSG00000085276,ENSG00000166884,shap,,,0.969348,0.02245,True
MECOM,ENSG00000085276,ENSG00000140379,shap,,,0.947176,0.000278,True
MECOM,ENSG00000085276,ENSG00000230805,shap,,,0.950482,0.003584,True
MECOM,ENSG00000085276,ENSG00000255557,shap,,,0.961667,0.014769,True
MECOM,ENSG00000085276,ENSG00000205578,shap,,,0.948183,0.001285,True
MECOM,ENSG00000085276,ENSG00000241155,shap,,,0.948721,0.001823,True
MECOM,ENSG00000085276,ENSG00000138623,shap,,,0.948331,0.001433,True
MECOM,ENSG00000085276,ENSG00000185614,shap,,,0.951484,0.004585,True
MECOM,ENSG00000085276,ENSG00000233296,shap,,,0.948786,0.001888,True
MECOM,ENSG00000085276,ENSG00000278765,shap,,,0.949444,0.002546,True
MECOM,ENSG00000085276,ENSG00000112715,shap,,,0.95018,0.003282,True
MECOM,ENSG00000085276,ENSG00000267776,shap,,,0.949176,0.002278,True
MECOM,ENSG00000085276,ENSG00000236611,shap,,,0.959445,0.012547,True
MECOM,ENSG00000085276,ENSG00000231106,shap,,,0.953093,0.006195,True
MECOM,ENSG00000085276,ENSG00000074211,shap,,,0.947937,0.001039,True
MECOM,ENSG00000085276,ENSG00000143162,shap,,,0.949177,0.002279,True
MECOM,ENSG00000085276,ENSG00000142675,shap,,,0.949486,0.002588,True
MECOM,ENSG00000085276,ENSG00000254919,shap,,,0.950104,0.003206,True
MECOM,ENSG00000085276,ENSG00000137767,shap,,,0.947831,0.000933,True
MECOM,ENSG00000085276,ENSG00000261459,shap,,,0.949288,0.00239,True
MECOM,ENSG00000085276,ENSG00000137834,shap,,,0.947671,0.000773,True
MECOM,ENSG00000085276,ENSG00000176532,shap,,,0.949255,0.002356,True
MECOM,ENSG00000085276,ENSG00000263727,shap,,,0.952334,0.005435,True
MECOM,ENSG00000085276,ENSG00000133048,shap,,,0.951168,0.00427,True
MECOM,ENSG00000085276,ENSG00000174059,shap,,,0.949526,0.002628,True
MECOM,ENSG00000085276,ENSG00000182183,shap,,,0.946559,-0.000339,True
MECOM,ENSG00000085276,ENSG00000147100,shap,,,0.950262,0.003364,True
MECOM,ENSG00000085276,ENSG00000243173,shap,,,0.946133,-0.000765,True
MECOM,ENSG00000085276,ENSG00000284733,shap,,,0.95183,0.004932,True
MECOM,ENSG00000085276,ENSG00000231760,shap,,,0.949636,0.002738,True
MECOM,ENSG00000085276,ENSG00000167600,shap,,,0.947374,0.000476,True
MECOM,ENSG00000085276,ENSG00000248909,shap,,,0.950417,0.003519,True
MECOM,ENSG00000085276,ENSG00000113249,shap,,,0.947246,0.000348,True
MECOM,ENSG00000085276,ENSG00000171124,shap,,,0.948601,0.001703,True
MECOM,ENSG00000085276,ENSG00000251286,shap,,,0.950677,0.003779,True
MECOM,ENSG00000085276,ENSG00000252697,shap,,,0.962935,0.016037,True
MECOM,ENSG00000085276,ENSG00000197142,shap,,,0.950486,0.003587,True
MECOM,ENSG00000085276,ENSG00000234187,shap,,,0.954644,0.007746,True
MECOM,ENSG00000085276,ENSG00000214485,shap,,,0.951595,0.004697,True
MECOM,ENSG00000085276,ENSG00000159860,shap,,,0.954183,0.007285,True
MECOM,ENSG00000085276,ENSG00000205502,shap,,,0.949788,0.00289,True
MECOM,ENSG00000085276,ENSG00000183648,shap,,,0.950566,0.003668,True
MECOM,ENSG00000085276,ENSG00000214940,shap,,,0.948474,0.001576,True
