gene,ensembl,ALS_overall,genetic_association,best_disease
CLDN5,ENSG00000184113,0.0198,0.0,MONDO_0004976
PROS1,ENSG00000184500,0.011,0.0,MONDO_0004976
HEXB,ENSG00000049860,0.0096,0.0,EFO_0003782
VWF,ENSG00000110799,0.0074,0.0,MONDO_0004976
NR4A1,ENSG00000123358,0.0022,0.0,MONDO_0004976
MECOM,ENSG00000085276,0.0,0.0,none
SERTAD1,ENSG00000197019,0.0,0.0,none
FCN3,ENSG00000142748,0.0,0.0,none
ANGPT2,ENSG00000091879,0.0,0.0,none
EMP1,ENSG00000134531,0.0,0.0,none
TINAGL1,ENSG00000142910,0.0,0.0,none
CKMT2,ENSG00000131730,0.0,0.0,none
SOHLH2,ENSG00000120669,0.0,0.0,none
MCEE,ENSG00000124370,0.0,0.0,none
SLC37A2,ENSG00000134955,0.0,0.0,none
