gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GO_Biological_Process_2023,prerank,Regulation Of MAPK Cascade (GO:0043408),0.8828167059056027,1.6822974725336344,0.01059322033898305,1.0,0.306,3/22,1.21%,IL6;REN;EGF
GO_Biological_Process_2023,prerank,Defense Response To Bacterium (GO:0042742),0.8294633959578517,1.6642855908657461,0.029469548133595286,0.9531597888339658,0.348,6/28,6.41%,RPS19;IL6;ANXA3;COLEC12;FPR2;OAS2
GO_Biological_Process_2023,prerank,Negative Regulation Of Cytokine Production (GO:0001818),0.8688118193531759,1.6376594715967274,0.02526315789473684,0.8160232263966878,0.427,1/19,0.18%,IL6
GO_Biological_Process_2023,prerank,Defense Response To Gram-positive Bacterium (GO:0050830),0.9020391410864856,1.575206333192458,0.024896265560165973,1.0,0.641,1/12,0.18%,IL6
GO_Biological_Process_2023,prerank,Cellular Response To Oxygen-Containing Compound (GO:1901701),0.7599248363498133,1.5656319214166412,0.029182879377431907,0.9367034013414924,0.683,6/40,5.55%,IL6;PDGFRA;SLC13A2;CXCL10;TPM1;LAMTOR2
GO_Biological_Process_2023,prerank,Regulation Of Fat Cell Differentiation (GO:0045598),0.8946789353374303,1.5649909826586463,0.021834061135371178,0.784469681057137,0.687,2/14,1.07%,IL6;ADIG
GO_Biological_Process_2023,prerank,Regulation Of Cytokine Production (GO:0001817),0.8000178837629556,1.5352800624985026,0.042316258351893093,0.8712939420793734,0.797,2/23,0.75%,IL6;BCL6
GO_Biological_Process_2023,prerank,Negative Regulation Of Inflammatory Response (GO:0050728),0.8806882172109962,1.5352198962290795,0.03225806451612903,0.7629283183734054,0.799,1/14,0.11%,RPS19
GO_Biological_Process_2023,prerank,Cytokine-Mediated Signaling Pathway (GO:0019221),0.7719229167606444,1.5259023105798883,0.04375,0.7325276910366461,0.833,11/30,15.09%,IL6;IL3RA;CXCL10;OAS2;NFKBIA;IL2RG;SMAD4;GPR75;PYCARD;IL2RB;BIRC3
GO_Biological_Process_2023,prerank,protein-RNA Complex Assembly (GO:0022618),0.9039744670755862,1.5117737764675383,0.03680981595092025,0.7395180149272541,0.875,2/11,5.27%,RPS19;SNRPG
GO_Biological_Process_2023,prerank,Positive Regulation Of Multicellular Organismal Process (GO:0051240),0.7210902563704176,1.505255428758723,0.04365079365079365,0.7080350789199318,0.891,6/43,4.98%,RPS19;IL6;EGF;GATM;PDGFC;ALPL
GO_Biological_Process_2023,prerank,Axonogenesis (GO:0007409),-0.8745823549164367,-1.493548326525586,0.024074074074074074,1.0,0.816,3/12,4.98%,ROBO4;CYFIP1;DOCK7
GO_Biological_Process_2023,prerank,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),0.8282967113157855,1.4789173678704544,0.05421686746987952,0.8006105330962149,0.939,2/15,1.00%,CANT1;HSPB1
GO_Biological_Process_2023,prerank,Regulation Of Kinase Activity (GO:0043549),0.8882332404883222,1.4781182143678249,0.03536345776031434,0.7445143041182978,0.94,2/11,0.46%,PDGFRA;EMP2
GO_Biological_Process_2023,prerank,rRNA Metabolic Process (GO:0016072),0.8829276061293967,1.4735032291477084,0.04310344827586207,0.7156760173717871,0.943,1/11,0.11%,RPS19
GO_Biological_Process_2023,prerank,Cellular Response To Lipid (GO:0071396),0.7672022033427436,1.4635902234638696,0.06813627254509018,0.7211684147144078,0.96,2/23,4.63%,IL6;CXCL10
GO_Biological_Process_2023,prerank,Defense Response To Virus (GO:0051607),0.770514648253147,1.4628144479808056,0.058577405857740586,0.6804643412263873,0.96,4/21,6.41%,IL6;PMAIP1;CXCL10;OAS2
GO_Biological_Process_2023,prerank,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),0.8894954164545033,1.4616263697175895,0.037037037037037035,0.6466049598812541,0.962,1/10,0.18%,IL6
GO_Biological_Process_2023,prerank,Ribosome Biogenesis (GO:0042254),0.8448104651756806,1.453452274887862,0.06396588486140725,0.6491130622031158,0.967,1/13,0.11%,RPS19
GO_Biological_Process_2023,prerank,Axon Guidance (GO:0007411),-0.8240857080068356,-1.4523115972713396,0.040293040293040296,1.0,0.933,2/13,0.85%,ROBO4;CYFIP1
GO_Biological_Process_2023,prerank,Regulation Of Response To External Stimulus (GO:0032101),0.7724787167635903,1.4522782472476106,0.06680161943319839,0.6208511350211189,0.967,4/21,8.61%,PDGFRA;BCL6;CD55;MGLL
GO_Biological_Process_2023,prerank,Defense Response To Symbiont (GO:0140546),0.7773668487646911,1.4508100688131624,0.07926829268292683,0.5965076386652289,0.967,3/18,6.41%,IL6;PMAIP1;OAS2
GO_Biological_Process_2023,prerank,Regulation Of T Cell Proliferation (GO:0042129),0.8693197678945889,1.4500379028392987,0.0425531914893617,0.5720553747383597,0.967,1/12,0.18%,IL6
GO_Biological_Process_2023,prerank,Ribonucleoprotein Complex Biogenesis (GO:0022613),0.8721501267020371,1.44546985535836,0.06637168141592921,0.5639258449251028,0.971,1/11,0.11%,RPS19
GO_Biological_Process_2023,prerank,rRNA Processing (GO:0006364),0.8798641821833667,1.4418917538011238,0.05394190871369295,0.5537172320957273,0.975,1/10,0.11%,RPS19
GO_Biological_Process_2023,prerank,Ribosomal Small Subunit Biogenesis (GO:0042274),0.8853442067376255,1.441792903236869,0.06387665198237885,0.5309490802328241,0.975,1/10,0.11%,RPS19
