,MECOM,SERTAD1,FCN3,PROS1,ANGPT2,EMP1,TINAGL1,CKMT2,VWF,CLDN5,NR4A1,SOHLH2,HEXB,MCEE,SLC37A2
Adipose_Subcutaneous,14.3646,17.8406,14.9602,50.6253,13.2743,196.39700000000002,167.33900000000003,5.43037,268.695,287.303,139.743,0.14949300000000001,92.7589,14.9753,7.89257
Adipose_Visceral_Omentum,11.0312,33.0903,47.8389,40.5307,10.8668,214.775,149.44799999999998,6.862310000000001,236.84900000000002,159.643,497.22,0.080125,73.3351,12.5393,5.764530000000001
Adrenal_Gland,0.285412,11.8647,37.7868,10.5623,0.24083200000000002,13.817,29.3289,34.3531,6.89918,6.70455,97.4389,0.417725,56.6336,20.4586,72.7158
Artery_Aorta,14.6946,32.4674,3.2069099999999997,164.188,5.44131,52.5456,338.667,24.9956,47.753,13.0644,284.536,0.06269780000000001,121.234,16.5985,3.92406
Artery_Coronary,6.03681,26.2139,8.2806,94.2278,6.12791,87.1264,237.12900000000002,21.1201,95.4025,34.7191,234.86700000000002,0.10346400000000001,98.1401,17.2953,4.52198
Artery_Tibial,3.65469,20.8693,1.65685,59.391000000000005,17.7041,63.6161,280.813,32.1686,55.24100000000001,26.2483,524.691,0.183825,80.4127,15.466,1.7087900000000003
Bladder,8.977039999999999,18.2467,2.02895,21.3602,3.9082199999999996,37.1564,100.522,5.65606,70.0773,62.2193,135.704,0.9245680000000001,74.0869,15.0632,5.39321
Brain_Amygdala,1.1602299999999999,5.33479,0.45238100000000003,3.95535,1.17954,3.4592,4.84903,5.53876,8.49835,37.5883,9.090539999999999,0.43092299999999994,10.2258,4.02989,0.7838579999999999
Brain_Anterior_cingulate_cortex_BA24,1.20781,5.142119999999999,0.498496,3.91325,0.887074,3.88294,4.96631,4.80813,7.857360000000001,34.8326,12.1767,0.701801,12.8336,4.3986,0.706112
Brain_Caudate_basal_ganglia,1.5603799999999999,5.62566,0.536295,5.496,1.77148,4.826919999999999,6.85089,6.5284699999999996,12.8369,44.5622,12.9476,0.454833,18.0396,4.17716,0.9133700000000001
Brain_Cerebellar_Hemisphere,0.8266020000000001,5.67575,0.41926,1.61913,1.0855,1.49494,3.22505,3.33037,6.33467,27.5557,17.7518,0.151061,26.4406,10.6481,1.00387
Brain_Cerebellum,1.02662,5.93649,0.47666499999999995,1.59368,1.13415,2.1057200000000003,4.74591,3.47379,9.29022,34.1982,24.679000000000002,0.216315,19.7315,9.76389,1.07981
Brain_Cortex,1.52661,5.78529,0.535729,3.5503,0.8291940000000001,3.5127300000000004,7.2240899999999995,5.62657,13.8548,48.3154,21.4377,0.758078,13.7719,4.75718,0.793136
Brain_Frontal_Cortex_BA9,1.3706200000000002,5.76051,0.5703159999999999,4.24559,1.03344,2.82076,5.41119,5.45485,9.48643,40.5083,16.3254,0.8827940000000001,20.4009,5.3333699999999995,0.6463909999999999
Brain_Hippocampus,1.47285,5.85656,0.580046,4.59825,1.7957,3.9872900000000002,5.3047699999999995,4.109,11.0975,51.2713,11.2168,0.599921,10.1587,4.01295,1.05829
Brain_Hypothalamus,1.66725,6.01835,0.642946,5.80471,2.1811599999999998,5.1593,6.46584,4.00853,10.2949,52.4974,14.6149,0.943199,16.6215,5.03061,1.33037
Brain_Nucleus_accumbens_basal_ganglia,1.05942,4.69695,0.43791800000000003,5.2507,0.9487129999999999,3.9701800000000005,5.02896,4.35175,8.828710000000001,32.1854,10.7081,1.18593,20.0272,4.25181,0.930211
Brain_Putamen_basal_ganglia,1.60055,5.44365,0.45753699999999997,4.02792,2.03986,3.1757400000000002,7.229889999999999,7.456060000000001,13.6444,48.7602,10.0123,0.335379,13.5909,3.6851300000000005,0.686446
Brain_Spinal_cord_cervical_c-1,2.31659,6.57803,0.589344,6.4737800000000005,3.4917800000000003,8.1938,7.23123,17.3822,16.5494,74.203,17.7929,0.509683,16.5591,8.2748,3.6958800000000003
Brain_Substantia_nigra,2.23231,6.39935,0.599687,4.18631,2.16641,6.3976,9.03186,10.5576,15.267000000000001,61.9199,8.768889999999999,0.520785,13.4652,4.96287,1.62535
Breast_Mammary_Tissue,11.0192,17.9138,22.1218,39.5535,8.27208,150.621,146.346,4.28035,188.80599999999998,256.37,139.889,0.163322,83.2975,17.5063,3.73567
Cells_Cultured_fibroblasts,0.661802,25.046999999999997,0.11559900000000001,65.111,0.198255,312.469,2.06481,0.5499109999999999,0.21835700000000002,0.157229,5.38773,0.5844,137.67,16.4152,1.30897
Cells_EBV-transformed_lymphocytes,0.0171195,13.2225,0.12455899999999999,0.11433299999999999,0.126609,0.386232,0.288582,0.469772,0.18248399999999998,0.15629,11.9779,0.0,39.4746,17.8054,21.2023
Cervix_Ectocervix,4.72171,17.0171,1.52255,25.7289,4.04095,64.742,136.319,11.9478,91.5534,48.8471,126.684,0.322135,109.38,22.6153,1.92905
Cervix_Endocervix,8.933910000000001,19.6722,3.6315,32.3583,4.17625,40.493,112.889,13.4529,105.505,53.3804,94.5539,0.554299,116.884,22.1166,2.4054900000000004
Colon_Sigmoid,2.81529,18.4727,2.38847,22.4587,1.94554,34.8968,78.855,3.84991,52.88399999999999,36.0045,120.046,1.8349099999999998,59.1386,14.27,2.80937
