rank,feature,baseline_auc,loo_auc,delta_auc,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc
1,ENSG00000085276.18,0.9621,0.961,0.0011,0.9673,0.9708,0.9604,0.9658,0.9408
2,ENSG00000261599.6,0.9621,0.9615,0.0006,0.9691,0.9697,0.9633,0.9612,0.9443
3,ENSG00000183604.14,0.9621,0.9613,0.0008,0.9673,0.966,0.966,0.9554,0.9518
4,ENSG00000197019.5,0.9621,0.9582,0.0038,0.9633,0.9647,0.9627,0.9506,0.9499
5,ENSG00000213860.4,0.9621,0.9603,0.0018,0.9683,0.9622,0.9572,0.9664,0.9474
6,ENSG00000142748.12,0.9621,0.96,0.002,0.9675,0.9647,0.9554,0.9658,0.9468
7,ENSG00000184500.15,0.9621,0.9617,0.0004,0.9656,0.971,0.9643,0.962,0.9454
8,ENSG00000091879.13,0.9621,0.9609,0.0012,0.9612,0.9731,0.9679,0.9624,0.9398
9,ENSG00000236682.1,0.9621,0.9622,-0.0002,0.9693,0.9647,0.9618,0.9627,0.9528
10,ENSG00000134531.10,0.9621,0.9601,0.002,0.9702,0.9656,0.9562,0.9531,0.9553
11,ENSG00000238622.1,0.9621,0.9631,-0.001,0.9708,0.9706,0.9637,0.9624,0.9479
12,ENSG00000142910.16,0.9621,0.96,0.0021,0.967,0.9673,0.967,0.9556,0.9429
13,ENSG00000131730.16,0.9621,0.9592,0.0029,0.9673,0.9731,0.9527,0.9608,0.9421
14,ENSG00000280893.1,0.9621,0.9622,-0.0001,0.9695,0.971,0.9639,0.9606,0.9462
15,ENSG00000110799.13,0.9621,0.9645,-0.0024,0.9721,0.9764,0.9541,0.9666,0.9532
16,ENSG00000184113.9,0.9621,0.9589,0.0032,0.9685,0.9656,0.9556,0.9624,0.9425
17,ENSG00000123358.20,0.9621,0.9616,0.0005,0.9706,0.9672,0.9577,0.9585,0.9541
18,ENSG00000223718.3,0.9621,0.9628,-0.0007,0.9683,0.9679,0.9614,0.9627,0.9536
19,ENSG00000120669.16,0.9621,0.9639,-0.0018,0.9739,0.9729,0.9575,0.9648,0.9501
20,ENSG00000203616.2,0.9621,0.9625,-0.0005,0.9679,0.972,0.956,0.967,0.9499
21,ENSG00000049860.14,0.9621,0.9619,0.0002,0.9739,0.9691,0.9545,0.9648,0.947
22,ENSG00000279656.1,0.9621,0.9623,-0.0002,0.9737,0.97,0.9552,0.9629,0.9495
23,ENSG00000226308.1,0.9621,0.9558,0.0063,0.9633,0.9664,0.9587,0.9504,0.9402
24,ENSG00000124370.11,0.9621,0.9613,0.0008,0.975,0.9689,0.9662,0.9558,0.9406
25,ENSG00000134955.11,0.9621,0.9609,0.0012,0.9697,0.966,0.9579,0.9618,0.9491
