cohort,model,n,n_pos,AUC,brier,log_loss,mean_pos,mean_neg
GPL16791,LGBM,636,546,0.7824,0.1351,0.9354,0.9149,0.5891
GPL16791,LR_L2,636,546,0.7709,0.1291,0.4454,0.8388,0.4998
GSE76220,LGBM,20,12,0.7083,0.4,6.112,1.0,1.0
GSE76220,LR_L2,20,12,0.7188,0.3109,1.2065,0.9651,0.841
GSE122649,LGBM,38,26,0.7853,0.2013,0.6751,0.8346,0.5331
GSE122649,LR_L2,38,26,0.8333,0.1903,0.5398,0.8548,0.705
GSE234297,LGBM,144,96,0.4148,0.3271,2.0461,0.9666,0.9833
GSE234297,LR_L2,144,96,0.4718,0.3333,4.448,1.0,1.0
SRP064478,LGBM,15,7,0.875,0.3257,1.6541,0.9783,0.6444
SRP064478,LR_L2,15,7,0.7857,0.3633,1.3049,0.9564,0.7844
GSE122649,LGBM,38,26,0.7853,0.2013,0.6751,0.8346,0.5331
GSE122649,LR_L2,38,26,0.8333,0.1903,0.5398,0.8548,0.705
GSE234297,LGBM,144,96,0.4148,0.3271,2.0461,0.9666,0.9833
GSE234297,LR_L2,144,96,0.4718,0.3333,4.448,1.0,1.0
SRP064478,LGBM,15,7,0.875,0.3257,1.6541,0.9783,0.6444
SRP064478,LR_L2,15,7,0.7857,0.3633,1.3049,0.9564,0.7844
