Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,panel_gene,Library
Reactome_2022,NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700,2/11,0.00022287992498854552,0.019613433398992,0,0,113.67521367521368,955.8809334503652,DLL4;NOTCH4,ANGPT2,Reactome_2022
KEGG_2021_Human,p53 signaling pathway,4/73,0.0004210531679688076,0.0412632104609431,0,0,12.498424700693132,97.14714862183554,CDKN1A;GADD45B;SFN;BID,EMP1,KEGG_2021_Human
Reactome_2022,Signaling By BMP R-HSA-201451,2/27,0.0004363226617166182,0.0242096665565705,0,0,76.00761904761904,588.0807184774015,ACVRL1;SMAD6,FCN3,Reactome_2022
Reactome_2022,RUNX2 Regulates Bone Development R-HSA-8941326,2/31,0.0005764206322992976,0.0242096665565705,0,0,65.51067323481116,488.6226830761787,SMAD6;AREG,FCN3,Reactome_2022
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Chemotaxis (GO:0002690),5/54,2.447001456634692e-06,0.0016615139890549,0,0,27.035374149659862,349.31453071920146,IL6;IL12A;FPR2;PLA2G7;CMKLR1,SLC37A2,GO_Biological_Process_2023
GO_Biological_Process_2023,Negative Regulation Of Cytokine Production (GO:0001818),7/178,7.22420310591567e-06,0.0024526169544583,0,0,11.074501321797644,131.10076202762292,IL6;NLRP12;GPNMB;IL12A;XAF1;HLA-DRB1;CMKLR1,SLC37A2,GO_Biological_Process_2023
KEGG_2021_Human,Malaria,3/50,0.0010548985204026,0.0308105012640387,0,0,16.473887814313347,112.9171456129886,IL6;KLRB1;IL12A,SLC37A2,KEGG_2021_Human
KEGG_2021_Human,Th1 and Th2 cell differentiation,4/92,0.0005077109352048693,0.0294472342418824,0,0,11.861244019138756,89.97463243815889,IL2RB;IL12A;RUNX3;HLA-DRB1,SLC37A2,KEGG_2021_Human
KEGG_2021_Human,Inflammatory bowel disease,3/65,0.0022519520756684,0.0435377401295899,0,0,12.478843736908251,76.07050543340755,IL6;IL12A;HLA-DRB1,SLC37A2,KEGG_2021_Human
KEGG_2021_Human,Phagosome,5/152,0.000360758683711772,0.0294472342418824,0,0,8.96734693877551,71.08686094959673,MSR1;TUBA3D;NCF2;OLR1;HLA-DRB1,SLC37A2,KEGG_2021_Human
KEGG_2021_Human,Toxoplasmosis,4/112,0.0010624310780703,0.0308105012640387,0,0,9.65497076023392,66.10947260248285,CIITA;LAMC3;IL12A;HLA-DRB1,SLC37A2,KEGG_2021_Human
KEGG_2021_Human,Lipid and atherosclerosis,5/215,0.0017134530350876,0.0397521104140334,0,0,6.257142857142857,39.85327351563526,IL6;NCF2;MMP3;OLR1;IL12A,SLC37A2,KEGG_2021_Human
GO_Biological_Process_2023,Negative Regulation Of Chondrocyte Differentiation (GO:0032331),2/14,0.0004041897176269234,0.0451997832036498,0,0,81.07723577235772,633.5072130174765,RFLNB;GDF5,SOHLH2,GO_Biological_Process_2023
GO_Biological_Process_2023,Male Meiosis I (GO:0007141),2/16,0.0005315449008354333,0.0451997832036498,0,0,69.48780487804878,523.9187926178153,TDRD9;MOV10L1,SOHLH2,GO_Biological_Process_2023
GO_Biological_Process_2023,Positive Regulation Of Hormone Secretion (GO:0046887),2/19,0.0007543579072186544,0.0451997832036498,0,0,57.21664275466284,411.3672708004445,EDN3;PPARG,SOHLH2,GO_Biological_Process_2023
GO_Biological_Process_2023,piRNA Processing (GO:0034587),2/19,0.0007543579072186544,0.0451997832036498,0,0,57.21664275466284,411.3672708004445,TDRD9;MOV10L1,SOHLH2,GO_Biological_Process_2023
GO_Biological_Process_2023,Cilium-Dependent Cell Motility (GO:0060285),2/20,0.0008370330222898128,0.0451997832036498,0,0,54.03523035230352,382.87456973669936,DNAI3;DNAH8,SOHLH2,GO_Biological_Process_2023
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),5/283,0.0003394365659106028,0.0451997832036498,0,0,9.31418023475956,74.40375319281546,NEUROD4;DNAI3;EDN3;PPARG;GDF5,SOHLH2,GO_Biological_Process_2023
GO_Biological_Process_2023,Lymphatic Endothelial Cell Differentiation (GO:0060836),2/7,0.0003034160628500144,0.0189255769202696,0,0,106.22933333333332,860.5006812675136,ACVRL1;SOX18,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Mesenchyme Morphogenesis (GO:0072132),3/18,4.294600768615928e-05,0.0069279408996427,0,0,53.8054054054054,541.043851830327,ACVRL1;HEYL;NOS3,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Pulmonary Valve Morphogenesis (GO:0003184),3/18,4.294600768615928e-05,0.0069279408996427,0,0,53.8054054054054,541.043851830327,HEYL;NOS3;SMAD6,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Hematopoietic Stem Cell Proliferation (GO:0071425),2/10,0.000645324195743907,0.0247705210520161,0,0,66.38333333333334,487.6358845330483,MECOM;CD34,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Pulmonary Valve Development (GO:0003177),3/20,5.9666458152070285e-05,0.0069279408996427,0,0,47.47058823529412,461.7340948301653,HEYL;NOS3;SMAD6,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Endocardial Cushion Morphogenesis (GO:0003203),3/21,6.941824548740276e-05,0.0069279408996427,0,0,44.83108108108108,429.27377737948746,ACVRL1;HEYL;NOS3,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Negative Regulation Of Vascular Permeability (GO:0043116),2/11,0.000786762964181551,0.0261729812751062,0,0,59.004444444444445,421.7391961345213,CLDN5;RAMP2,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Endocardial Cushion Development (GO:0003197),3/23,9.19251078780767e-05,0.0076451048051933,0,0,40.34391891891892,374.9780211851579,ACVRL1;HEYL;NOS3,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Endothelial Cell Differentiation (GO:0045446),2/13,0.0011102175865311,0.0292080153391873,0,0,48.27151515151515,328.4007361079594,ACVRL1;SOX18,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Regulation Of Systemic Arterial Blood Pressure By Hormone (GO:0001990),2/15,0.0014870860669846,0.0338380746058629,0,0,40.84102564102564,265.9133340826656,NOS3;AVPR1A,TINAGL1,GO_Biological_Process_2023
GO_Biological_Process_2023,Vasculature Development (GO:0001944),2/16,0.001695294318931,0.0338380746058629,0,0,37.92190476190476,241.937918997276,ACVRL1;SOX18,TINAGL1,GO_Biological_Process_2023
