Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Library,panel_gene
GO_Biological_Process_2023,interleukin-17A-mediated Signaling Pathway (GO:0038173),1/5,0.0034953988931204,0.0459049277744025,0,0,384.2692307692308,2173.5450385769154,TRAF3IP2,GO_Biological_Process_2023,EMP1
Reactome_2022,TFAP2 (AP-2) Family Regulates Transcription Of Cell Cycle Factors R-HSA-8866911,1/5,0.0034953988931204,0.0468966018160329,0,0,384.2692307692308,2173.5450385769154,CDKN1A,Reactome_2022,EMP1
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698),1/5,0.0034953988931204,0.0459049277744025,0,0,384.2692307692308,2173.5450385769154,LIF,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Positive Regulation Of Vesicle Fusion (GO:0031340),1/5,0.0034953988931204,0.0459049277744025,0,0,384.2692307692308,2173.5450385769154,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process (GO:2001280),1/6,0.0041931197986946,0.0459049277744025,0,0,307.4,1682.8029678019434,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Negative Regulation Of Phospholipase Activity (GO:0010519),1/7,0.0048903875335643,0.0459049277744025,0,0,256.15384615384613,1362.8623704331803,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Positive Regulation Of Myeloid Cell Apoptotic Process (GO:0033034),1/7,0.0048903875335643,0.0459049277744025,0,0,256.15384615384613,1362.8623704331803,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Myoblast Migration (GO:0051451),1/7,0.0048903875335643,0.0459049277744025,0,0,256.15384615384613,1362.8623704331803,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Regulation Of Phospholipase A2 Activity (GO:0032429),1/7,0.0048903875335643,0.0459049277744025,0,0,256.15384615384613,1362.8623704331803,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Stress-Induced Premature Senescence (GO:0090400),1/7,0.0048903875335643,0.0459049277744025,0,0,256.15384615384613,1362.8623704331803,CDKN1A,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription Initiation (GO:2000142),1/8,0.0055872022837974,0.0459049277744025,0,0,219.5494505494505,1138.8637280375192,FOSL1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Regulation Of Vesicle Fusion (GO:0031338),1/8,0.0055872022837974,0.0459049277744025,0,0,219.5494505494505,1138.8637280375192,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Regulation Of Nephron Tubule Epithelial Cell Differentiation (GO:0072182),1/8,0.0055872022837974,0.0459049277744025,0,0,219.5494505494505,1138.8637280375192,LIF,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Arachidonic Acid Secretion (GO:0050482),1/9,0.0062835642580931,0.0459049277744025,0,0,192.09615384615384,973.8925197668603,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Positive Regulation Of Epidermis Development (GO:0045684),1/9,0.0062835642580931,0.0459049277744025,0,0,192.09615384615384,973.8925197668603,SFN,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Skeletal Muscle Tissue Regeneration (GO:0043403),1/9,0.0062835642580931,0.0459049277744025,0,0,192.09615384615384,973.8925197668603,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Negative Regulation Of Hormone Secretion (GO:0046888),1/9,0.0062835642580931,0.0459049277744025,0,0,192.09615384615384,973.8925197668603,LIF,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Negative Regulation Of Muscle Cell Apoptotic Process (GO:0010656),1/9,0.0062835642580931,0.0459049277744025,0,0,192.09615384615384,973.8925197668603,BAG3,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Arachidonate Transport (GO:1903963),1/9,0.0062835642580931,0.0459049277744025,0,0,192.09615384615384,973.8925197668603,ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Granulocyte Migration (GO:0097530),1/9,0.0062835642580931,0.0459049277744025,0,0,192.09615384615384,973.8925197668603,ANXA1,GO_Biological_Process_2023,EMP1
Reactome_2022,Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795,2/31,0.00020913783305828015,0.0151760006775606,0,0,114.69540229885058,971.7587498188318,TGIF1;WWTR1,Reactome_2022,EMP1
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Nucleus (GO:1900182),3/72,1.5825925432177543e-05,0.003803986290329,0,0,78.72332015810277,870.1966473439037,WWTR1;BAG3;LIF,GO_Biological_Process_2023,EMP1
KEGG_2021_Human,p53 signaling pathway,3/73,1.649737171359446e-05,0.0012702976219467,0,0,77.59480519480519,854.498008832388,CDKN1A;GADD45B;SFN,KEGG_2021_Human,EMP1
GO_Biological_Process_2023,Positive Regulation Of Macrophage Differentiation (GO:0045651),1/10,0.0069794736802133,0.0483053046814765,0,0,170.74358974358975,847.7046615380154,LIF,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Urogenital System Development (GO:0001655),1/10,0.0069794736802133,0.0483053046814765,0,0,170.74358974358975,847.7046615380154,ANXA1,GO_Biological_Process_2023,EMP1
Reactome_2022,SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796,2/36,0.000282782621321006,0.0151760006775606,0,0,97.80392156862744,799.139419708988,TGIF1;WWTR1,Reactome_2022,EMP1
KEGG_2021_Human,Thyroid cancer,2/37,0.0002988222171700243,0.0057523276805229,0,0,95.0047619047619,771.0265125260339,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
GO_Biological_Process_2023,Negative Regulation Of Secretion By Cell (GO:1903531),2/40,0.00034955273047183893,0.0153220613523489,0,0,87.49122807017544,696.3300971664896,ANXA1;LIF,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Negative Regulation Of Protein Kinase Activity (GO:0006469),3/88,2.892765239793988e-05,0.003803986290329,0,0,63.85347593582888,667.3143248738534,WWTR1;CDKN1A;SFN,GO_Biological_Process_2023,EMP1
Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,3/107,5.191409121134976e-05,0.0083581686850273,0,0,52.13811188811189,514.3904563597044,CDKN1A;ANXA1;LIF,Reactome_2022,EMP1
Reactome_2022,Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793,2/51,0.0005688783229383101,0.0228973524982669,0,0,67.81292517006803,506.6875974033785,TGIF1;WWTR1,Reactome_2022,EMP1
GO_Biological_Process_2023,Regulation Of Protein Localization To Nucleus (GO:1900180),2/52,0.0005913970865463289,0.0194421792202105,0,0,66.45333333333333,493.94914691461696,WWTR1;LIF,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Regulation Of Protein Kinase Activity (GO:0045859),3/119,7.126380256623058e-05,0.0062474600249728,0,0,46.71630094043887,446.0996588137753,WWTR1;CDKN1A;SFN,GO_Biological_Process_2023,EMP1
KEGG_2021_Human,Endometrial cancer,2/58,0.00073547385272901,0.0088127921142619,0,0,59.31547619047619,427.96089788083634,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,Cell cycle,3/124,8.054598906401727e-05,0.0031010205789646,0,0,44.77460555972953,422.0759792095258,CDKN1A;GADD45B;SFN,KEGG_2021_Human,EMP1
GO_Biological_Process_2023,Negative Regulation Of Kinase Activity (GO:0033673),2/62,0.0008400240681185265,0.0245473699905747,0,0,55.35,391.9931287757488,WWTR1;SFN,GO_Biological_Process_2023,EMP1
KEGG_2021_Human,Basal cell carcinoma,2/63,0.0008672192285085808,0.0088127921142619,0,0,54.439890710382514,383.81313847540514,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
GO_Biological_Process_2023,Negative Regulation Of Protein Phosphorylation (GO:0001933),3/149,0.00013887917369132856,0.0091313056702048,0,0,37.06102117061021,329.17251582135134,WWTR1;CDKN1A;SFN,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Response To Ionizing Radiation (GO:0010212),2/72,0.0011309036960398,0.0290504853320202,0,0,47.41904761904762,321.7258254417712,CDKN1A;ANXA1,GO_Biological_Process_2023,EMP1
KEGG_2021_Human,Non-small cell lung cancer,2/72,0.0011309036960398,0.0088127921142619,0,0,47.41904761904762,321.7258254417712,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,Melanoma,2/72,0.0011309036960398,0.0088127921142619,0,0,47.41904761904762,321.7258254417712,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,Cellular senescence,3/156,0.00015907156995412518,0.0040828369621558,0,0,35.35294117647059,309.20235030853047,CDKN1A;GADD45B;TRAF3IP2,KEGG_2021_Human,EMP1
GO_Biological_Process_2023,Negative Regulation Of Phosphorylation (GO:0042326),2/75,0.0012263294238969,0.0290504853320202,0,0,45.4634703196347,304.774819858399,WWTR1;CDKN1A,GO_Biological_Process_2023,EMP1
KEGG_2021_Human,Glioma,2/75,0.0012263294238969,0.0088127921142619,0,0,45.4634703196347,304.774819858399,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,Chronic myeloid leukemia,2/76,0.0012589703020374,0.0088127921142619,0,0,44.84684684684685,299.46307584841253,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,Pancreatic cancer,2/76,0.0012589703020374,0.0088127921142619,0,0,44.84684684684685,299.46307584841253,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
GO_Biological_Process_2023,Negative Regulation Of Protein Modification Process (GO:0031400),2/78,0.0013254974295978,0.0290504853320202,0,0,43.66228070175438,289.3048516583327,WWTR1;CDKN1A,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Positive Regulation Of Protein Localization (GO:1903829),2/85,0.0015713649938221,0.0295192673943234,0,0,39.96586345381526,258.0120455041712,WWTR1;LIF,GO_Biological_Process_2023,EMP1
KEGG_2021_Human,Colorectal cancer,2/86,0.0016081357833763,0.0103188712766646,0,0,39.48809523809524,254.01426742111903,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
Reactome_2022,Chaperonin-mediated Protein Folding R-HSA-390466,2/90,0.0017593156889336,0.0402161889854532,0,0,37.68560606060606,239.03340620516263,TUBB6;GNG12,Reactome_2022,EMP1
Reactome_2022,Signaling By TGF-beta Receptor Complex R-HSA-170834,2/91,0.0017981323113668,0.0402161889854532,0,0,37.26029962546816,235.52260572132244,TGIF1;WWTR1,Reactome_2022,EMP1
KEGG_2021_Human,Small cell lung cancer,2/92,0.0018373565774843,0.0105436430761643,0,0,36.84444444444444,232.09890224450945,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,IL-17 signaling pathway,2/94,0.001917026013848,0.0105436430761643,0,0,36.039855072463766,225.50066121848295,FOSL1;TRAF3IP2,KEGG_2021_Human,EMP1
Reactome_2022,Transcriptional Regulation By RUNX3 R-HSA-8878159,2/95,0.0019574701719015,0.0402161889854532,0,0,35.6505376344086,222.32040216487016,WWTR1;CDKN1A,Reactome_2022,EMP1
Reactome_2022,Protein Folding R-HSA-391251,2/96,0.0019983199495877,0.0402161889854532,0,0,35.269503546099294,219.2157820877061,TUBB6;GNG12,Reactome_2022,EMP1
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway (GO:0097193),2/105,0.0023841376349213,0.039926948876009,0,0,32.17313915857605,194.29094270402075,CDKN1A;SFN,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045),2/106,0.002429015901202,0.039926948876009,0,0,31.862179487179485,191.81889407044008,CDKN1A;ANXA1,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),3/236,0.0005363462707205775,0.0194421792202105,0,0,23.120952009364025,174.11766028974935,SERPINA3;ANXA1;TRAF3IP2,GO_Biological_Process_2023,EMP1
Reactome_2022,Signaling By TGFB Family Members R-HSA-9006936,2/119,0.0030486596286902,0.0468966018160329,0,0,28.303418803418804,163.96321231241305,TGIF1;WWTR1,Reactome_2022,EMP1
Reactome_2022,Transcriptional Regulation By RUNX2 R-HSA-8878166,2/119,0.0030486596286902,0.0468966018160329,0,0,28.303418803418804,163.96321231241305,WWTR1;CDKN1A,Reactome_2022,EMP1
KEGG_2021_Human,Osteoclast differentiation,2/127,0.0034631122521909,0.0177085869048994,0,0,26.48133333333333,150.03231374792333,LILRA6;FOSL1,KEGG_2021_Human,EMP1
KEGG_2021_Human,FoxO signaling pathway,2/131,0.0036797063698492,0.0177085869048994,0,0,25.655038759689923,143.79449938483123,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),4/483,0.000277378980804576,0.0145901343903206,0,0,16.289770354906054,133.41526886879564,FOSL1;WWTR1;CDKN1A;LIF,GO_Biological_Process_2023,EMP1
KEGG_2021_Human,Breast cancer,2/147,0.0046078029097597,0.020236858486553,0,0,22.80574712643678,122.6950136783122,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,Gastric cancer,2/149,0.0047306941916617,0.020236858486553,0,0,22.49319727891157,120.42145516840182,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,JAK-STAT signaling pathway,2/162,0.0055662628224102,0.0214301118662795,0,0,20.652083333333334,107.20561301190271,CDKN1A;LIF,KEGG_2021_Human,EMP1
KEGG_2021_Human,Hepatocellular carcinoma,2/168,0.0059732178817874,0.0219017988998871,0,0,19.899598393574298,101.89528640005966,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,Transcriptional misregulation in cancer,2/192,0.007733163058087,0.0261499397782827,0,0,17.364912280701756,84.4323243339294,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,2/193,0.0078110209727337,0.0261499397782827,0,0,17.273123909249563,83.81299033960693,CDKN1A;GNG12,KEGG_2021_Human,EMP1
KEGG_2021_Human,Epstein-Barr virus infection,2/202,0.0085278008702042,0.0273600277919053,0,0,16.488333333333333,78.55740712825308,CDKN1A;GADD45B,KEGG_2021_Human,EMP1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.0099596659718239,0.0306757711932176,0,0,15.183563748079877,69.98426035729229,FOSL1;CDKN1A,KEGG_2021_Human,EMP1
KEGG_2021_Human,Human cytomegalovirus infection,2/225,0.0104890292346004,0.0310636635024706,0,0,14.770553064275038,67.31569374910849,CDKN1A;GNG12,KEGG_2021_Human,EMP1
Reactome_2022,Signaling By Interleukins R-HSA-449147,3/453,0.0034883881501613,0.0468966018160329,0,0,11.84,66.9944554909185,CDKN1A;ANXA1;LIF,Reactome_2022,EMP1
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),4/766,0.0015713678460856,0.0295192673943234,0,0,10.091338582677166,65.14775241962856,FOSL1;WWTR1;CDKN1A;LIF,GO_Biological_Process_2023,EMP1
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),3/482,0.0041535639868442,0.0459049277744025,0,0,11.106661605617765,60.90658342262518,ANXA1;BAG3;SFN,GO_Biological_Process_2023,EMP1
