panel_gene,nb_gene,nb_feature,pearson_r,replicated
CKMT2,MMD2,ENSG00000136297.14,0.6944,True
CKMT2,SYNJ2,ENSG00000078269.15,0.6787,True
EMP1,SERPINA3,ENSG00000196136.17,0.8402,True
EMP1,SFN,ENSG00000175793.12,0.7569,True
EMP1,FOSL1,ENSG00000175592.8,0.6736,True
EMP1,LIF,ENSG00000128342.5,0.7109,True
EMP1,TUBB6,ENSG00000176014.12,0.7292,True
EMP1,GADD45B,ENSG00000099860.9,0.7587,True
EMP1,BAG3,ENSG00000151929.9,0.7007,True
EMP1,CDKN1A,ENSG00000124762.13,0.8448,True
EMP1,GNG12,ENSG00000172380.6,0.8019,True
EMP1,ANXA1,ENSG00000135046.14,0.8576,True
EMP1,WWTR1,ENSG00000018408.14,0.8288,True
EMP1,TRAF3IP2,ENSG00000056972.19,0.6722,True
EMP1,LILRA6,ENSG00000244482.10,0.7469,True
EMP1,TGIF1,ENSG00000177426.20,0.7977,True
HEXB,LGALS3,ENSG00000131981.16,0.7198,True
HEXB,SLC25A24,ENSG00000085491.17,0.8163,True
HEXB,RPL7P1,ENSG00000214485.6,0.7684,True
HEXB,PRSS23,ENSG00000150687.12,0.6899,True
HEXB,CREG1,ENSG00000143162.9,0.9129,True
HEXB,SDCBP,ENSG00000137575.12,0.9141,True
HEXB,MAN1A1,ENSG00000111885.7,0.7445,True
HEXB,LACTB,ENSG00000103642.12,0.8621,True
HEXB,TMEM243,ENSG00000135185.12,0.745,True
HEXB,PPARG,ENSG00000132170.21,0.8098,True
HEXB,PLA2G7,ENSG00000146070.16,0.8156,True
HEXB,RPL23,ENSG00000125691.13,0.8777,True
HEXB,TRAPPC3,ENSG00000054116.12,0.8753,True
HEXB,ENSG00000237550,ENSG00000237550.5,0.711,True
HEXB,PPTC7,ENSG00000196850.6,0.6663,True
HEXB,STK26,ENSG00000134602.16,0.67,True
HEXB,UFSP2,ENSG00000109775.11,0.7895,True
HEXB,ZDHHC6,ENSG00000023041.11,0.7636,True
HEXB,GSTO1,ENSG00000148834.13,0.8205,True
HEXB,CREBL2,ENSG00000111269.3,0.8412,True
HEXB,DHRS7,ENSG00000100612.14,0.8897,True
HEXB,CTSL,ENSG00000135047.15,0.8946,True
HEXB,SLC31A1,ENSG00000136868.11,0.8286,True
HEXB,GLIPR1,ENSG00000139278.10,0.7418,True
HEXB,RGS2,ENSG00000116741.8,0.7729,True
HEXB,CLIC2,ENSG00000155962.13,0.7765,True
HEXB,GON7,ENSG00000170270.5,0.7393,True
MCEE,H2BC8,ENSG00000273802.2,0.7247,True
MCEE,ANKRA2,ENSG00000164331.10,0.8462,True
MCEE,ENSG00000237550,ENSG00000237550.5,0.6651,True
MCEE,LIPT1,ENSG00000144182.17,0.7407,True
MCEE,GALK1,ENSG00000108479.11,0.6835,True
MCEE,NARS2,ENSG00000137513.10,0.7828,True
MCEE,DMC1,ENSG00000100206.10,0.6509,True
MCEE,TXNL4B,ENSG00000140830.9,0.6593,True
MCEE,C4orf33,ENSG00000151470.13,0.726,True
MCEE,SNRPB,ENSG00000125835.18,0.7837,True
MCEE,SUCLG1,ENSG00000163541.12,0.795,True
MCEE,YEATS4,ENSG00000127337.7,0.7765,True
MCEE,UBC,ENSG00000150991.15,0.7146,True
MCEE,IDNK,ENSG00000148057.16,0.7668,True
MCEE,POC5,ENSG00000152359.14,0.7466,True
MCEE,TPM1,ENSG00000140416.21,0.6687,True
MCEE,RBBP9,ENSG00000089050.16,0.8062,True
MCEE,BTAF1,ENSG00000095564.14,0.7994,True
MCEE,NSMCE4A,ENSG00000107672.15,0.7691,True
MCEE,NR2C2AP,ENSG00000184162.14,0.7504,True
MCEE,MTERF3,ENSG00000156469.8,0.7569,True
MCEE,SLC35G1,ENSG00000176273.15,0.7071,True
MCEE,RFWD3,ENSG00000168411.14,0.8124,True
PROS1,LGALS3,ENSG00000131981.16,0.6521,True
PROS1,PRSS23,ENSG00000150687.12,0.7306,True
PROS1,SDCBP,ENSG00000137575.12,0.7709,True
PROS1,PTGFR,ENSG00000122420.10,0.6846,True
PROS1,SNHG16,ENSG00000163597.14,0.6527,True
PROS1,KDELR3,ENSG00000100196.11,0.738,True
PROS1,RNASE4,ENSG00000258818.4,0.7427,True
PROS1,SLC66A3,ENSG00000162976.13,0.7727,True
PROS1,RBMS3,ENSG00000144642.21,0.7441,True
PROS1,RAB38,ENSG00000123892.12,0.6876,True
PROS1,CHEK2,ENSG00000183765.21,0.7439,True
PROS1,PPIC,ENSG00000168938.5,0.7531,True
PROS1,DNAI4,ENSG00000152763.17,0.723,True
PROS1,ANXA1,ENSG00000135046.14,0.7803,True
PROS1,RGS2,ENSG00000116741.8,0.6863,True
PROS1,PLBD1,ENSG00000121316.11,0.7679,True
PROS1,CFH,ENSG00000000971.15,0.6591,True
PROS1,TMEM35B,ENSG00000243749.1,0.6832,True
PROS1,CIMAP3,ENSG00000173947.14,0.7849,True
SLC37A2,GPNMB,ENSG00000136235.16,0.839,True
