Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set_name
GO_Biological_Process_2023,Short-Chain Fatty Acid Catabolic Process (GO:0019626),1/5,0.0017489165149326,0.0110682102741151,0,0,832.875,5287.722499803602,MCEE,up_in_ALS
GO_Biological_Process_2023,Short-Chain Fatty Acid Metabolic Process (GO:0046459),1/6,0.0020983872819732,0.0110682102741151,0,0,666.2666666666667,4108.590825691207,MCEE,up_in_ALS
GO_Biological_Process_2023,Ganglioside Catabolic Process (GO:0006689),1/6,0.0020983872819732,0.0110682102741151,0,0,666.2666666666667,4108.590825691207,HEXB,up_in_ALS
GO_Biological_Process_2023,Bleb Assembly (GO:0032060),1/6,0.0020983872819732,0.0110682102741151,0,0,666.2666666666667,4108.590825691207,EMP1,up_in_ALS
GO_Biological_Process_2023,Cell Surface Pattern Recognition Receptor Signaling Pathway (GO:0002752),1/8,0.002797015027105,0.0110682102741151,0,0,475.8571428571428,2797.6605002155425,FCN3,up_in_ALS
GO_Biological_Process_2023,Positive Regulation Of Opsonization (GO:1903028),1/8,0.002797015027105,0.0110682102741151,0,0,475.8571428571428,2797.6605002155425,FCN3,up_in_ALS
GO_Biological_Process_2023,"Complement Activation, Lectin Pathway (GO:0001867)",1/8,0.002797015027105,0.0110682102741151,0,0,475.8571428571428,2797.6605002155425,FCN3,up_in_ALS
GO_Biological_Process_2023,Regulation Of RNA Biosynthetic Process (GO:2001141),1/8,0.002797015027105,0.0110682102741151,0,0,475.8571428571428,2797.6605002155425,FCN3,up_in_ALS
GO_Biological_Process_2023,Glycosphingolipid Catabolic Process (GO:0046479),1/9,0.0031461719727636,0.0110682102741151,0,0,416.3541666666667,2398.8531813702,HEXB,up_in_ALS
GO_Biological_Process_2023,Aminoglycan Metabolic Process (GO:0006022),1/9,0.0031461719727636,0.0110682102741151,0,0,416.3541666666667,2398.8531813702,HEXB,up_in_ALS
