rank,feature,mean_abs_shap,ensg_base,symbol,gene_type,biotype,name,mg_found,flag_symbol,flag_biotype,flag_nosym,any_flag,gtex_max_tpm,classification
26,ENSG00000286065.1,0.2003358509545971,ENSG00000286065,,,,,False,False,False,True,True,-1.0,flagged_no_gtex
27,ENSG00000268388.5,0.1878316718751276,ENSG00000268388,FENDRR,ncRNA,,FOXF1 adjacent non-coding developmental regulatory RNA,True,False,False,False,False,,clean
28,ENSG00000255769.7,0.1814018864135606,ENSG00000255769,GOLGA2P10,,,GOLGA2 pseudogene 10,True,False,False,False,False,,clean
29,ENSG00000131981.16,0.1776194197706663,ENSG00000131981,LGALS3,protein-coding,,galectin 3,True,False,False,False,False,,clean
30,ENSG00000203620.2,0.1757278872043495,ENSG00000203620,,,,,True,False,False,True,True,0.093001,confirmed_artifact
31,ENSG00000260644.6,0.1707631230076689,ENSG00000260644,HERC2P5,pseudo,,HERC2 pseudogene 5,True,False,False,False,False,,clean
32,ENSG00000269296.1,0.1701625997537744,ENSG00000269296,,,,,True,False,False,True,True,1.9886400000000002,borderline
33,ENSG00000244414.6,0.1683313912288511,ENSG00000244414,CFHR1,protein-coding,,complement factor H related 1,True,False,False,False,False,,clean
34,ENSG00000285578.1,0.1640954153904744,ENSG00000285578,LIRIL2R,,,lincRNA regulator of IL2RA,True,False,False,False,False,,clean
35,ENSG00000103023.11,0.1640449473839906,ENSG00000103023,PRSS54,protein-coding,,serine protease 54,True,True,False,False,True,67.1766,flagged_but_expressed
36,ENSG00000263755.2,0.1626917899437461,ENSG00000263755,RN7SL498P,pseudo,,"RNA, 7SL, cytoplasmic 498, pseudogene",True,False,False,False,False,,clean
37,ENSG00000254681.6,0.1619931615291716,ENSG00000254681,PKD1P5,pseudo,,"polycystin 1, transient receptor potential channel interacting pseudogene 5",True,False,False,False,False,,clean
38,ENSG00000125954.12,0.1617302596600494,ENSG00000125954,CHURC1-FNTB,protein-coding,,CHURC1-FNTB readthrough,True,False,False,False,False,,clean
39,ENSG00000261798.1,0.1597777510237603,ENSG00000261798,LOC101929536,ncRNA,,uncharacterized LOC101929536,True,False,False,False,False,,clean
40,ENSG00000260776.5,0.1568526485538697,ENSG00000260776,GOLGA6FP,,,"golgin A6 family member F, pseudogene",True,False,False,False,False,,clean
41,ENSG00000136235.16,0.1562935995928387,ENSG00000136235,GPNMB,protein-coding,,glycoprotein nmb,True,False,False,False,False,,clean
42,ENSG00000230663.1,0.151421801304098,ENSG00000230663,FAM224B,,,family with sequence similarity 224 member B,True,False,False,False,False,,clean
43,ENSG00000141682.11,0.1511103327172977,ENSG00000141682,PMAIP1,protein-coding,,phorbol-12-myristate-13-acetate-induced protein 1,True,False,False,False,False,,clean
44,ENSG00000229828.2,0.150423981952123,ENSG00000229828,PDE4DIPP1,,,PDE4DIP pseudogene 1,True,False,False,False,False,,clean
45,ENSG00000230178.1,0.1459883585756255,ENSG00000230178,OR4F3,protein-coding,,olfactory receptor family 4 subfamily F member 3,True,True,False,False,True,0.0,confirmed_artifact
46,ENSG00000259846.1,0.1459309221432033,ENSG00000259846,,,,,True,False,False,True,True,1.4428,borderline
47,ENSG00000248668.2,0.1447003926957635,ENSG00000248668,OXCT1-AS1,ncRNA,,OXCT1 antisense RNA 1,True,False,False,False,False,,clean
48,ENSG00000249961.9,0.1444183526840062,ENSG00000249961,TERB1,protein-coding,,telomere repeat binding bouquet formation protein 1,True,False,False,False,False,,clean
49,ENSG00000250252.1,0.1438632737228146,ENSG00000250252,LINC02430,ncRNA,,long intergenic non-protein coding RNA 2430,True,False,False,False,False,,clean
50,ENSG00000007038.11,0.1430463244955625,ENSG00000007038,PRSS21,protein-coding,,serine protease 21,True,True,False,False,True,132.696,flagged_but_expressed
51,ENSG00000132518.6,0.1418381653323762,ENSG00000132518,GUCY2D,protein-coding,,"guanylate cyclase 2D, retinal",True,False,False,False,False,,clean
52,ENSG00000134184.12,0.1418294265366887,ENSG00000134184,GSTM1,protein-coding,,glutathione S-transferase mu 1,True,False,False,False,False,,clean
53,ENSG00000236908.2,0.1415031220263675,ENSG00000236908,LINC02827,,,long intergenic non-protein coding RNA 2827,True,False,False,False,False,,clean
