panel_gene,panel_base,module_size,single_freq,module_freq,delta
MECOM,ENSG00000085276,480,0.52,1.0,0.48
HERC2P8,ENSG00000261599,363,0.66,1.0,0.34
SMG1P5,ENSG00000183604,337,0.27,1.0,0.73
SERTAD1,ENSG00000197019,163,0.72,1.0,0.28
RPL21P75,ENSG00000213860,380,0.24,1.0,0.76
FCN3,ENSG00000142748,384,0.43,1.0,0.57
PROS1,ENSG00000184500,668,0.45,1.0,0.55
ANGPT2,ENSG00000091879,403,0.34,1.0,0.66
MAP3K2-DT,ENSG00000236682,425,0.05,1.0,0.95
EMP1,ENSG00000134531,325,0.51,1.0,0.49
SNORD97,ENSG00000238622,449,0.05,1.0,0.95
TINAGL1,ENSG00000142910,110,0.23,1.0,0.77
ENSG00000280893,ENSG00000280893,474,0.57,1.0,0.43
CLDN5,ENSG00000184113,351,0.3,1.0,0.7
VWF,ENSG00000110799,506,0.38,1.0,0.62
SOHLH2,ENSG00000120669,484,0.22,1.0,0.78
RPL15P11,ENSG00000223718,457,0.07,1.0,0.93
ENSG00000279656,ENSG00000279656,410,0.16,1.0,0.84
LOC112268270,ENSG00000226308,436,0.02,1.0,0.98
RHOT1P2,ENSG00000203616,303,0.19,1.0,0.81
HEXB,ENSG00000049860,664,0.63,1.0,0.37
MCEE,ENSG00000124370,632,0.15,1.0,0.85
SLC37A2,ENSG00000134955,477,0.26,1.0,0.74
CKMT2,ENSG00000131730,110,0.38,0.97,0.59
NR4A1,ENSG00000123358,100,0.19,0.95,0.76
