k,genes,lgbm_auc,lr_auc,best_individual_auc,synergy_score
2,ENSG00000268955 | CLMB,0.7106,0.6539,0.5766,0.134
2,ENSG00000268955 | ENSG00000264490,0.7098,0.666,0.5867,0.1231
2,NR4A1 | ENSG00000268955,0.7084,0.6455,0.5754,0.133
2,ENSG00000268955 | ENSG00000286011,0.7038,0.6798,0.5916,0.1122
2,INKA1 | ENSG00000268955,0.7028,0.6774,0.5775,0.1254
2,ENSG00000268955 | PSTPIP1,0.7025,0.6576,0.5845,0.1179
2,ENSG00000268955 | EDN3,0.7005,0.6529,0.5754,0.1251
2,ENSG00000268955 | WHAMMP4,0.6956,0.687,0.5938,0.1017
2,FUT3 | ENSG00000268955,0.694,0.6745,0.5754,0.1186
2,ENSG00000268955 | ENSG00000280217,0.6933,0.6698,0.5943,0.0991
2,ENSG00000268955 | MMD2,0.6923,0.6786,0.5968,0.0955
2,ENSG00000268955 | MYH14,0.6908,0.647,0.5754,0.1154
2,ENSG00000268955 | ROBO4,0.6905,0.6457,0.5754,0.1151
2,ENSG00000268955 | NOSIP,0.6882,0.6718,0.5757,0.1125
2,ENSG00000268955 | LSR,0.6873,0.6552,0.5754,0.1119
2,ENSG00000268955 | ENSG00000226747,0.6866,0.6675,0.5853,0.1013
2,ENSG00000268955 | ENSG00000273226,0.685,0.6829,0.5754,0.1096
2,ENSG00000268955 | ENSG00000267074,0.6839,0.6739,0.5933,0.0906
2,ENSG00000268955 | ACVRL1,0.6837,0.6515,0.5754,0.1083
2,ENSG00000268955 | MRPS9-AS2,0.6836,0.6736,0.5772,0.1064
2,ENSG00000268955 | SFRP1,0.683,0.667,0.576,0.107
2,ENSG00000268955 | KCNE2,0.6827,0.6681,0.584,0.0987
2,XAF1 | PSTPIP1,0.6827,0.6623,0.5845,0.0982
2,ENSG00000268955 | CMAHP,0.6812,0.6513,0.5754,0.1058
2,ENSG00000268955 | DNAJB1,0.6784,0.652,0.5754,0.103
2,ENSG00000268955 | LINC01447,0.6779,0.6768,0.5995,0.0785
2,ENSG00000268955 | C14orf93,0.6778,0.6582,0.5754,0.1024
2,ENSG00000268955 | XAF1,0.6763,0.6584,0.5754,0.1009
2,HMGB1P21 | ENSG00000268955,0.6763,0.658,0.5754,0.1009
2,ENSG00000268955 | ENSG00000278492,0.6762,0.6651,0.5754,0.1008
2,ENSG00000268955 | AK4P1,0.6761,0.6552,0.5826,0.0935
2,CDRT15P9 | ENSG00000268955,0.6757,0.6484,0.5754,0.1003
2,ENSG00000268955 | TNFRSF13B,0.6745,0.6552,0.5754,0.0991
2,TMEM18-DT | ENSG00000268955,0.6743,0.6476,0.5754,0.0988
2,HAVCR1 | ENSG00000268955,0.6732,0.6622,0.5838,0.0894
2,SNORD97 | ENSG00000268955,0.6725,0.66,0.5754,0.0971
2,ENSG00000226747 | ENSG00000264490,0.6719,0.6671,0.5867,0.0852
2,ENSG00000268955 | TM4SF18,0.671,0.6759,0.5882,0.0828
2,ANGPT2 | ENSG00000280217,0.67,0.6781,0.5986,0.0714
2,MIR3147HG | ENSG00000268955,0.67,0.6687,0.5938,0.0763
2,MMD2 | PSTPIP1,0.67,0.6688,0.5968,0.0732
2,ENSG00000268955 | ENSG00000256588,0.6698,0.6496,0.5754,0.0944
2,ENSG00000268955 | DACT2,0.6696,0.6624,0.5875,0.0821
2,ENSG00000268955 | MACROD1,0.6694,0.685,0.5754,0.094
2,MYH14 | PSTPIP1,0.6686,0.662,0.5845,0.084
2,ENSG00000268955 | ZNF248-AS1,0.6683,0.6598,0.5754,0.0929
2,ENSG00000278765 | ENSG00000268955,0.668,0.6564,0.5754,0.0925
2,ENSG00000268955 | EDN1,0.6679,0.6463,0.5754,0.0925
2,PDZK1IP1 | ENSG00000268955,0.667,0.6663,0.589,0.078
2,ENSG00000268955 | ENSG00000278212,0.6665,0.6736,0.5875,0.079
2,CKMT2 | ENSG00000268955,0.6658,0.6686,0.5891,0.0766
2,ENSG00000279656 | ENSG00000268955,0.6655,0.6493,0.5754,0.0901
2,ENSG00000268955 | TRGC2,0.6648,0.6489,0.5754,0.0894
2,SMG1P5 | ENSG00000268955,0.6648,0.6467,0.5754,0.0894
2,SMAD6 | ENSG00000268955,0.6644,0.6571,0.5815,0.0829
