k,genes,lgbm_auc,lr_auc,best_individual_auc,synergy_score
3,INKA1 | ENSG00000268955 | MMD2,0.7637,0.7239,0.5968,0.1668
3,ENSG00000268955 | MMD2 | EDN3,0.7572,0.7345,0.5968,0.1603
3,ENSG00000268955 | ENSG00000280217 | WHAMMP4,0.7467,0.7165,0.5943,0.1524
3,ENSG00000268955 | MMD2 | ENSG00000286011,0.7458,0.7277,0.5968,0.149
3,ENSG00000268955 | NDST1 | SHKBP1,0.7416,0.7194,0.5754,0.1662
3,ENSG00000268955 | LSR | EDN3,0.7368,0.7014,0.5754,0.1614
3,ENSG00000268955 | ENSG00000286159 | PSTPIP1,0.736,0.7159,0.5845,0.1514
3,CKMT2 | ENSG00000268955 | ENSG00000286011,0.7357,0.7153,0.5916,0.1441
3,ENSG00000268955 | MMD2 | WHAMMP4,0.7349,0.7188,0.5968,0.1381
3,ENSG00000268955 | MYH14 | C14orf93,0.7339,0.7147,0.5754,0.1585
3,ENSG00000268955 | MYH14 | MACROD1,0.7282,0.7015,0.5754,0.1528
3,NDST1 | EDN3 | SHKBP1,0.728,0.6977,0.5624,0.1656
3,ENSG00000268955 | MYH14 | NOSIP,0.7262,0.7024,0.5757,0.1505
3,MMD2 | EDN3 | PSTPIP1,0.7247,0.7255,0.5968,0.1279
3,ENSG00000268955 | OAS2 | XAF1,0.7236,0.7191,0.5754,0.1482
3,ENSG00000286065 | ENSG00000268955 | PSTPIP1,0.7218,0.7148,0.5845,0.1373
3,ENSG00000268955 | KCNE2 | ENSG00000280217,0.7191,0.7271,0.5943,0.1248
3,INKA1 | ENSG00000268955 | LSR,0.7173,0.7119,0.5775,0.1398
3,ENSG00000286065 | TM4SF18 | PSTPIP1,0.7159,0.7199,0.5882,0.1276
3,NDST1 | LSR | SHKBP1,0.7142,0.6998,0.563,0.1512
3,EDN1 | NDST1 | SHKBP1,0.714,0.698,0.5624,0.1516
3,GUCY2D | ENSG00000268955 | ENSG00000280217,0.7115,0.7243,0.5943,0.1173
3,ENSG00000268955 | SFRP1 | DACT2,0.7093,0.7291,0.5875,0.1218
3,MMD2 | ENSG00000226747 | EDN3,0.708,0.7222,0.5968,0.1112
3,ENSG00000268955 | ENSG00000280217 | MACROD1,0.7069,0.7185,0.5943,0.1126
3,ENSG00000268955 | LSR | MACROD1,0.7061,0.6978,0.5754,0.1307
3,MMD2 | EDN3 | SHKBP1,0.7051,0.7253,0.5968,0.1082
3,FUT3 | ENSG00000268955 | ENSG00000273226,0.7049,0.6987,0.5754,0.1294
3,GUCY2D | ENSG00000268955 | MMD2,0.7047,0.7228,0.5968,0.1079
3,MRO | NDST1 | SHKBP1,0.7035,0.6858,0.5624,0.1411
3,ENSG00000268955 | ENSG00000286159 | SHKBP1,0.7029,0.7125,0.5754,0.1275
3,CKMT2 | ENSG00000268955 | ENSG00000278212,0.7021,0.714,0.5891,0.113
3,ENSG00000268955 | ENSG00000273226 | MACROD1,0.7019,0.6974,0.5754,0.1265
3,ENSG00000256588 | NDST1 | SHKBP1,0.6985,0.686,0.5624,0.1361
3,TNFRSF13B | NDST1 | SHKBP1,0.6969,0.6853,0.5624,0.1345
3,LSR | MMD2 | EDN3,0.6958,0.7198,0.5968,0.0989
3,GUCY2D | ENSG00000268955 | ENSG00000264490,0.6948,0.7108,0.5867,0.1081
3,NDST1 | ENSG00000226747 | SHKBP1,0.6944,0.7078,0.5853,0.1091
3,ENSG00000286065 | ENSG00000226747 | PSTPIP1,0.6941,0.708,0.5853,0.1088
3,MRO | MMD2 | EDN3,0.6934,0.722,0.5968,0.0965
