symbol,gene_set,libraries,n_libraries,min_enrichr_padj,auc,direction_f2,spearman_rho,spearman_p,direction_f3,ensg
STAT3,up_in_ALS,ChEA_2022|TRANSFAC_and_JASPAR_PWMs,2,0.2546025001779563,0.6409,activator,0.5505,0.0,activator,ENSG00000168610
TP53,up_in_ALS,ChEA_2022,1,0.4961324618213305,0.6609,activator,0.538,0.0,activator,ENSG00000141510
MAFB,down_in_ALS,TRANSFAC_and_JASPAR_PWMs,1,0.2546025001779563,0.7039,activator,0.5323,0.0,activator,ENSG00000204103
MYC,up_in_ALS,ChEA_2022,1,0.120094289191714,0.6443,activator,0.4877,0.0,activator,ENSG00000136997
FOXO1,up_in_ALS,ChEA_2022,1,0.3088628270777519,0.6476,activator,0.4818,0.0,activator,ENSG00000150907
CTNNB1,down_in_ALS,ChEA_2022,1,0.3088628270777519,0.6518,activator,0.4586,0.0,activator,ENSG00000168036
SPI1,up_in_ALS,ChEA_2022,1,0.3782012195635005,0.6799,activator,0.4578,0.0,activator,ENSG00000066336
ATF3,down_in_ALS,ChEA_2022,1,0.3088628270777519,0.6383,activator,0.4486,0.0,activator,ENSG00000162772
RELB,up_in_ALS,ChEA_2022,1,0.4961324618213305,0.6201,activator,0.4226,0.0,activator,ENSG00000104856
FLI1,up_in_ALS,ChEA_2022,1,0.3782012195635005,0.6299,activator,0.3751,0.0,activator,ENSG00000151702
CEBPD,down_in_ALS,TRANSFAC_and_JASPAR_PWMs,1,0.2546025001779563,0.6111,activator,0.3531,0.0,activator,ENSG00000221869
FOSL1,up_in_ALS,ChEA_2022,1,0.3782012195635005,0.6403,activator,0.3145,0.0,activator,ENSG00000175592
RNF2,up_in_ALS,ChEA_2022,1,0.4671048300783439,0.6303,activator,0.3063,0.0,activator,ENSG00000121481
