,Neuron,Astrocyte,Oligodendrocyte,Microglia,Endothelial,OPC,Pericyte,group
GSM4659645,-0.036644574,-1.1325593,-1.3550656,-1.3442969,-1.2259743,-1.3554147,-1.3224411,ALS
GSM4659646,0.7903239,-0.14223728,-1.199531,-0.6797021,-0.065906964,-0.9756173,0.26453993,Control
GSM4659647,0.760481,-0.46711323,-1.2529323,-0.57840145,-0.31059,-0.8222235,-0.027537933,Control
GSM4659648,-0.1706776,-0.14212212,1.0686355,0.5314929,1.0806522,0.12031874,0.53250533,Control
GSM4659649,-0.18651548,-0.11701476,0.72611356,0.6168584,1.4633502,0.020073202,0.8506421,Control
GSM4659650,0.24583389,-1.196275,-1.1438186,-1.2694407,1.0941257,0.27939716,0.32087782,Control
GSM4659651,-0.85132307,0.030426145,0.9358638,0.6716974,0.40271243,0.12946853,0.09711681,Control
GSM4659652,-0.8553647,0.118241936,0.9065507,0.64172345,0.384358,0.0092788655,0.2251089,Control
GSM4659653,0.33835274,0.15002227,0.70179915,0.62931925,0.4263443,0.7743791,0.25737694,ALS
GSM4659654,-0.20890093,-1.2188224,-1.704874,-1.423419,-0.9167018,-1.7165308,-1.2313242,Control
GSM4659655,-0.9634774,0.044176493,0.79564786,0.51118296,0.07856127,0.20069046,-0.25935054,Control
GSM4659656,-0.73661286,0.10540249,0.73679656,0.551173,0.20378521,0.30141765,0.34569606,Control
GSM4659657,0.553037,0.026389258,-0.24959993,-0.16331552,0.16728142,-0.24088717,0.062852286,ALS
GSM4659659,-0.77232337,-0.8015121,0.054077473,-0.33085096,0.7565824,-0.19453256,-0.1958985,ALS
GSM4659660,-1.1706859,0.3244459,0.7046633,1.0039879,0.59048134,0.47564203,0.13408275,ALS
GSM4659661,-0.80694467,0.60955524,0.7590275,1.4091533,1.1552966,0.51579106,0.41108158,ALS
GSM4659662,0.55501455,-0.56032336,-1.1852397,-0.4259921,-0.13562217,-0.3503682,-0.30723253,Control
GSM4659663,0.21466604,-0.5753688,-0.18658073,-0.57490146,0.13811235,0.7516972,-0.107003585,Control
GSM4659664,-0.41000786,-2.1516488,-2.338379,-2.0558515,-1.2788466,-2.1961849,-2.1675632,Control
GSM4659665,-0.44737786,-0.5956693,0.86347747,-0.028476527,1.1355618,0.7629752,-0.002398606,Control
GSM4659666,0.7617516,-0.7966705,-0.8821529,-0.44401625,-0.04704284,-0.6744411,-0.10241055,ALS
GSM4659667,0.83785754,-0.8834356,-0.6656261,-0.23842211,0.16276662,-0.41498208,-0.05314047,ALS
GSM4659668,-0.12630233,-1.322138,-2.0234854,-1.1058956,-0.8491212,-1.6926259,-1.2344532,ALS
GSM4659669,-0.56685174,-0.08139687,0.6247011,1.3612002,0.6824786,-0.0004117787,0.1343924,ALS
GSM4659670,-0.54639083,-0.25247177,0.60174346,1.0686316,1.1192058,0.49327293,0.5134428,ALS
GSM4659671,0.48444754,-0.08230574,-0.68539774,-0.37176943,0.23964806,-0.0572521,0.26835805,Control
GSM4659672,0.3097788,0.25080845,-0.81522095,0.11659149,0.8514964,0.43941683,0.64546233,Control
GSM4659673,-0.31255433,-1.3995312,-1.3193518,-1.128001,-0.529789,-1.238596,-0.97017324,Control
GSM4659674,0.750364,-0.09791203,-0.98402214,-0.9287166,0.07043499,-0.8490797,0.06506195,ALS
GSM4659675,0.8226138,0.20335622,-0.6574347,-0.398653,0.36705595,-0.14854999,0.21438368,ALS
GSM4659676,-0.31200722,-1.3177388,-2.1910973,-2.1920497,-1.8822193,-2.5838757,-1.8223418,ALS
GSM4659677,-0.79206127,0.26152393,0.7712803,0.65023243,0.5920232,0.3880598,0.17158763,ALS
GSM4659678,-0.67409945,0.1200486,0.8906619,0.11747271,1.6121238,0.44236344,0.4320353,ALS
GSM4659679,-0.174187,-0.88480085,-1.9278799,-1.9938011,-0.7591499,-1.7850434,-1.3396876,Control
GSM4659680,-0.6247378,-0.037275046,0.8458342,-0.19534945,0.9636591,-0.11062603,0.16173646,Control
GSM4659681,0.83589274,-0.20730565,-0.24786803,-0.47887263,0.137049,-0.023848224,0.020368159,ALS
GSM4659682,-0.39217347,-1.2216351,-1.4757943,-1.8312429,-1.1643634,-1.9047601,-1.5773152,ALS
GSM4659683,-0.8126137,-0.15889694,1.1638538,0.5326368,0.77337193,0.77135277,-0.14984313,ALS
GSM4659684,-1.1835496,0.025569947,1.0752424,0.56514996,1.165655,0.7377809,0.22164679,ALS
GSM4659685,0.675352,-0.47519302,-0.45575365,-0.65239614,-0.41137475,-0.102407515,0.09906037,Control
GSM4659686,0.5171343,-0.04836504,-0.9949432,-0.39109316,-0.20188303,0.27930444,0.0736825,Control
GSM4659687,-0.86914194,-0.4848768,1.188322,0.11807228,0.5837993,0.29105443,0.22631648,Control
GSM4659688,-1.0357428,-0.46967238,1.0868952,-0.038865402,0.7860958,0.31011093,0.10850563,Control
GSM4659689,-0.2946692,0.029891575,-1.3811482,-1.2364808,0.6847538,0.048314273,0.2775439,ALS
GSM4659691,-1.1864647,-1.0245548,-2.2571313,-2.1586936,0.36645094,-2.3669534,-0.942822,ALS
GSM4659692,-1.9684662,-0.6871142,0.3440904,0.11360564,0.9850156,-0.24824733,-0.06676425,ALS
GSM4659693,-2.1695254,-1.4361113,-0.11947261,-0.9987256,1.7252375,-1.1367918,-0.3151804,ALS
GSM4659694,0.664328,-0.06802081,-0.9763844,-0.21807607,0.28472516,-0.18342628,0.05091772,Control
GSM4659695,-0.6113015,-0.27259588,1.086202,0.8123727,0.753269,0.45854864,0.12742542,Control
GSM4659696,-0.302382,0.04225786,1.058584,0.8788554,1.0505222,0.3399244,0.3447309,Control
GSM4659697,0.5253137,-0.2601168,-0.41630507,-0.29806778,0.59337884,-0.6506499,0.14888279,ALS
GSM4659699,-0.34690017,-1.7106774,-1.6745999,-1.6915331,-0.95156515,-2.304185,-1.3435293,ALS
GSM4659700,-1.1334481,0.39932021,0.8719411,0.9915979,0.5547657,-0.0018431172,-0.002118015,ALS
GSM4659701,-0.5574218,0.61577725,0.8731357,0.92149526,0.49625722,0.11122633,-0.047504295,ALS
GSM4659702,-1.3351547,0.07561616,0.627309,0.46998116,1.4602537,-0.14016598,0.49778628,Control
GSM4659703,0.78235465,-0.21224423,-1.1089978,-0.33001003,0.28841993,-0.49876055,0.17065777,ALS
GSM4659704,0.76320857,-0.115285225,-1.1646422,-0.24274497,-0.18291888,0.04661086,-0.31155437,ALS
GSM4659705,-0.20192169,-1.213108,-1.8631393,-1.3865556,-1.3764006,-1.7331613,-1.4137605,ALS
GSM4659706,0.028958056,0.3750641,0.61635274,0.50952226,1.1602981,0.45294517,0.15629017,ALS
