Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Compound
LINCS_L1000_Chem_Pert_up,LJP009 A549 24H-sunitinib-0.37,1/5,0.0017489165149326,0.0577174932304084,0,0,832.875,5287.722499803602,MECOM,ljp009
LINCS_L1000_Chem_Pert_up,CPC005 VCAP 24H-lomatin-10.0,1/5,0.0017489165149326,0.0577174932304084,0,0,832.875,5287.722499803602,ANGPT2,cpc005
LINCS_L1000_Chem_Pert_up,CPC012 ASC 24H-BRD-K63954456-10.0,2/32,5.1820314097601215e-05,0.0577174932304084,0,0,266.17333333333335,2626.5261397690333,NR4A1;ANGPT2,cpc012
LINCS_L1000_Chem_Pert_up,CPC012 ASC 24H-BRD-K89626439-10.0,2/39,7.732699148752035e-05,0.0577174932304084,0,0,215.7405405405405,2042.516552754333,NR4A1;ANGPT2,cpc012
LINCS_L1000_Chem_Pert_up,CPC008 HT29 6H-ncgc00242557-01-10.0,1/11,0.0038441720045859,0.0577174932304084,0,0,333.05,1852.1566750462316,ANGPT2,cpc008
LINCS_L1000_Chem_Pert_up,CPC009 VCAP 24H-dicloxacillin sodium salt hydrate-10.0,1/11,0.0038441720045859,0.0577174932304084,0,0,333.05,1852.1566750462316,ANGPT2,cpc009
LINCS_L1000_Chem_Pert_up,CPC008 HT29 6H-ncgc00167100-01-10.0,1/11,0.0038441720045859,0.0577174932304084,0,0,333.05,1852.1566750462316,ANGPT2,cpc008
LINCS_L1000_Chem_Pert_up,CPC001 VCAP 6H-dhpc8 buildingblockc04-10.0,1/12,0.0041930151049605,0.0577174932304084,0,0,302.7575757575757,1657.3964565725007,ANGPT2,cpc001
LINCS_L1000_Chem_Pert_up,CPC011 VCAP 24H-capsaicin-10.0,1/12,0.0041930151049605,0.0577174932304084,0,0,302.7575757575757,1657.3964565725007,ANGPT2,cpc011
LINCS_L1000_Chem_Pert_up,CPD001 MCF7 6H-practolol-10.0,1/12,0.0041930151049605,0.0577174932304084,0,0,302.7575757575757,1657.3964565725007,NR4A1,cpd001
LINCS_L1000_Chem_Pert_up,CPC008 VCAP 6H-ncgc00182913-03-10.0,1/12,0.0041930151049605,0.0577174932304084,0,0,302.7575757575757,1657.3964565725007,ANGPT2,cpc008
LINCS_L1000_Chem_Pert_up,CPC008 A375 6H-BRD-K74777906-10.0,1/12,0.0041930151049605,0.0577174932304084,0,0,302.7575757575757,1657.3964565725007,ANGPT2,cpc008
LINCS_L1000_Chem_Pert_up,LJP005 MDAMB231 3H-NVP-AUY922-1.11,1/12,0.0041930151049605,0.0577174932304084,0,0,302.7575757575757,1657.3964565725007,NR4A1,ljp005
LINCS_L1000_Chem_Pert_up,LJP009 A549 24H-BI-2536-1.11,1/12,0.0041930151049605,0.0577174932304084,0,0,302.7575757575757,1657.3964565725007,MECOM,ljp009
LINCS_L1000_Chem_Pert_up,CPC001 VCAP 6H-dibutyrylcyclic amp-10.0,1/12,0.0041930151049605,0.0577174932304084,0,0,302.7575757575757,1657.3964565725007,ANGPT2,cpc001
LINCS_L1000_Chem_Pert_up,CPC015 MCF7 6H-daunorubicin hydrochloride-10.0,1/13,0.0045417536091676,0.0577174932304084,0,0,277.5138888888889,1497.032601111507,ANGPT2,cpc015
LINCS_L1000_Chem_Pert_up,LJP005 MCF10A 3H-CGP-60474-0.04,2/53,0.0001434663901560044,0.0577174932304084,0,0,156.4078431372549,1384.117094402986,NR4A1;VWF,ljp005
LINCS_L1000_Chem_Pert_up,CPC014 HT29 6H-BRD-K07877311-10.0,1/14,0.0048903875335643,0.0577174932304084,0,0,256.15384615384613,1362.8623704331803,ANGPT2,cpc014
LINCS_L1000_Chem_Pert_up,CPC005 VCAP 24H-sc 19220-10.0,1/14,0.0048903875335643,0.0577174932304084,0,0,256.15384615384613,1362.8623704331803,ANGPT2,cpc005
LINCS_L1000_Chem_Pert_up,CPC002 PC3 24H-cy 208-243-10.0,1/14,0.0048903875335643,0.0577174932304084,0,0,256.15384615384613,1362.8623704331803,ANGPT2,cpc002
