shap_rank,symbol,ensembl_id,direction,loo_delta,tractability,n_dgidb_interactions,approved_drugs_dgidb,inhibitors_dgidb,activators_dgidb,n_ot_drugs,phase3_drugs_ot,has_approved_drug,dominant_ct,deconv_rho,ct_als_dir,per_cell_evidence
1,MECOM,ENSG00000085276,down_in_ALS,+0.0011,PR,3,THALIDOMIDE,OFIRNOFLAST|COMPOUND 22 [PMID: 20462760],,0,,True,Endothelial,0.929,down,composition_driven
10,EMP1,ENSG00000134531,up_in_ALS,+0.0020,AB,5,GEFITINIB,COMPOUND 20 [PMID: 30998356]|COMPOUND 1A [PMID: 24900749]|COMPOUND 3B [PMID: 23454515]|KINASE INHIBITOR 2 [PMID: 30199702],,0,,True,Microglia,0.771,up,composition_driven
12,TINAGL1,ENSG00000142910,down_in_ALS,+0.0013,AB,0,,,,0,,False,Endothelial,0.932,down,composition_driven
13,CKMT2,ENSG00000131730,down_in_ALS,+0.0010,"AB,SM",0,,,,0,,False,OPC,0.785,ns,ambiguous_ct
15,VWF,ENSG00000110799,down_in_ALS,+0.0009,"AB,OC,PR,SM",20,VINCRISTINE|METHYLENE BLUE ANHYDROUS|VITAMIN B6|MITOMYCIN|ACETYLCYSTEINE,EGAPTIVON PEGOL|CAPLACIZUMAB,,4,CAPLACIZUMAB|VON WILLEBRAND FACTOR HUMAN|VONICOG ALFA,True,Endothelial,0.957,down,composition_driven
16,CLDN5,ENSG00000184113,down_in_ALS,+0.0009,AB,0,,,,0,,False,Endothelial,0.964,down,composition_driven
17,NR4A1,ENSG00000123358,down_in_ALS,+0.0005,"PR,SM",15,CYCLOSPORINE|LEVODOPA|HALOPERIDOL DECANOATE|ETOPOSIDE|NICOTINE POLACRILEX,,,0,,True,Pericyte,0.786,down,composition_driven
19,SOHLH2,ENSG00000120669,up_in_ALS,-0.0018,none,0,,,,0,,False,Astrocyte,0.525,ns,ambiguous_ct
21,HEXB,ENSG00000049860,up_in_ALS,+0.0002,"AB,PR,SM",10,CORTISONE|GENTAMICIN|TAMOXIFEN|RABEPRAZOLE|ESTRAMUSTINE,,,0,,True,Microglia,0.775,up,composition_driven
24,MCEE,ENSG00000124370,up_in_ALS,+0.0008,"PR,SM",0,,,,0,,False,Astrocyte,0.623,ns,ambiguous_ct
25,SLC37A2,ENSG00000134955,up_in_ALS,+0.0012,"AB,PR",0,,,,0,,False,Microglia,0.905,up,composition_driven
4,SERTAD1,ENSG00000197019,up_in_ALS,+0.0038,PR,0,,,,0,,False,Endothelial,0.809,down,sign_reversal
6,FCN3,ENSG00000142748,up_in_ALS,+0.0020,"AB,SM",0,,,,0,,False,Endothelial,0.65,down,sign_reversal
7,PROS1,ENSG00000184500,up_in_ALS,+0.0004,"AB,PR",7,PROGESTERONE|ESTRADIOL VALERATE|WARFARIN|VITAMIN K3|LUSUTROMBOPAG,,,2,PROTHROMBIN COMPLEX CONCENTRATE,True,Microglia,0.849,up,composition_driven
8,ANGPT2,ENSG00000091879,down_in_ALS,+0.0012,"AB,OC",30,AFAMELANOTIDE|FARICIMAB|RIBAVIRIN|BREMELANOTIDE|CORTICOTROPIN,[125I]SHU9119|VANUCIZUMAB|MEDI-3617|MBP10|FARICIMAB,AFAMELANOTIDE|THIQ|[125I]NDP-MSH|MT-II|SETMELANOTIDE,8,TREBANANIB|FARICIMAB,True,Endothelial,0.67,down,composition_driven
