rank,feature,baseline_auc,loo_auc,delta_auc,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc
1,ENSG00000261599.6,0.9824,0.9812,0.0012,0.9948,0.9894,0.9702,0.9837,0.9679
2,ENSG00000085276.18,0.9824,0.981,0.0014,0.9942,0.9912,0.9683,0.9829,0.9685
3,ENSG00000197019.5,0.9824,0.9803,0.0021,0.9917,0.9889,0.9695,0.9831,0.9685
4,ENSG00000183604.14,0.9824,0.9806,0.0018,0.9902,0.99,0.9739,0.9818,0.9673
5,ENSG00000213860.4,0.9824,0.9812,0.0012,0.9946,0.9877,0.9693,0.9846,0.9696
6,ENSG00000091879.13,0.9824,0.9817,0.0007,0.9956,0.9919,0.9664,0.985,0.9698
7,ENSG00000184500.15,0.9824,0.9801,0.0023,0.9915,0.9877,0.9668,0.9844,0.9698
8,ENSG00000142910.16,0.9824,0.9811,0.0013,0.9933,0.9902,0.9672,0.9827,0.9721
9,ENSG00000184113.9,0.9824,0.9805,0.0019,0.9948,0.9885,0.9695,0.9821,0.9677
10,ENSG00000142748.12,0.9824,0.9809,0.0015,0.9929,0.991,0.9672,0.9825,0.9712
11,ENSG00000134531.10,0.9824,0.9802,0.0022,0.9939,0.9894,0.9656,0.9823,0.9698
12,ENSG00000136235.16,0.9824,0.9808,0.0016,0.9939,0.9894,0.9706,0.9829,0.9673
13,ENSG00000131730.16,0.9824,0.9799,0.0025,0.9948,0.9914,0.9645,0.9816,0.9675
14,ENSG00000236682.1,0.9824,0.9815,0.0009,0.9937,0.9889,0.972,0.9864,0.9665
15,ENSG00000238622.1,0.9824,0.9806,0.0018,0.9927,0.9887,0.9689,0.9833,0.9694
16,ENSG00000134955.11,0.9824,0.9819,0.0005,0.9937,0.9912,0.9704,0.9854,0.9687
17,ENSG00000110799.13,0.9824,0.9805,0.0019,0.9958,0.9906,0.9635,0.9848,0.9679
18,ENSG00000280893.1,0.9824,0.983,-0.0006,0.9944,0.991,0.9745,0.9842,0.9708
19,ENSG00000279656.1,0.9824,0.9812,0.0012,0.995,0.9902,0.9683,0.986,0.9667
20,ENSG00000255769.7,0.9824,0.9815,0.0009,0.995,0.9896,0.967,0.9875,0.9683
21,ENSG00000261798.1,0.9824,0.9814,0.001,0.9939,0.9892,0.9691,0.9858,0.9688
22,ENSG00000203616.2,0.9824,0.9817,0.0007,0.9939,0.9902,0.9687,0.9852,0.9708
23,ENSG00000123358.20,0.9824,0.9808,0.0016,0.9944,0.9906,0.9673,0.9835,0.9683
24,ENSG00000120669.16,0.9824,0.982,0.0004,0.9952,0.991,0.9685,0.9862,0.9692
25,ENSG00000125954.12,0.9824,0.9821,0.0003,0.9944,0.9915,0.9687,0.9839,0.9721
26,ENSG00000229828.2,0.9824,0.9815,0.0009,0.994,0.9898,0.9685,0.9848,0.9702
27,ENSG00000141682.11,0.9824,0.9817,0.0007,0.995,0.9917,0.9683,0.9833,0.9702
28,ENSG00000142675.18,0.9824,0.9807,0.0017,0.9931,0.9898,0.9683,0.9835,0.969
29,ENSG00000134184.12,0.9824,0.9816,0.0008,0.9952,0.9923,0.9683,0.9823,0.9696
30,ENSG00000124370.11,0.9824,0.9819,0.0005,0.9946,0.9904,0.9721,0.9839,0.9683
31,ENSG00000286065.1,0.9824,0.9819,0.0005,0.995,0.99,0.9698,0.9854,0.969
32,ENSG00000285578.1,0.9824,0.9818,0.0006,0.9952,0.9887,0.9725,0.9848,0.9679
33,ENSG00000128918.15,0.9824,0.9811,0.0013,0.9952,0.9912,0.9668,0.9846,0.9679
34,ENSG00000073737.16,0.9824,0.9817,0.0007,0.995,0.9912,0.972,0.9842,0.9659
35,ENSG00000162366.8,0.9824,0.9814,0.001,0.9923,0.9912,0.9712,0.9823,0.9698
36,ENSG00000203620.2,0.9824,0.9816,0.0008,0.9925,0.9906,0.9725,0.9837,0.9688
37,ENSG00000232332.1,0.9824,0.9801,0.0023,0.9933,0.9894,0.9685,0.9823,0.9671
38,ENSG00000268388.5,0.9824,0.9817,0.0007,0.9939,0.9917,0.9697,0.9866,0.9669
39,ENSG00000254681.6,0.9824,0.9811,0.0013,0.9939,0.9896,0.9698,0.9829,0.9692
40,ENSG00000049860.14,0.9824,0.9819,0.0005,0.9942,0.9906,0.9729,0.9839,0.9679
41,ENSG00000260653.5,0.9824,0.9812,0.0012,0.9933,0.9896,0.97,0.9848,0.9685
42,ENSG00000284931.1,0.9824,0.9814,0.001,0.994,0.9889,0.9727,0.9854,0.9658
43,ENSG00000151632.17,0.9824,0.9823,0.0001,0.9944,0.9885,0.9733,0.9837,0.9717
44,ENSG00000230178.1,0.9824,0.9818,0.0006,0.9937,0.9902,0.9691,0.9871,0.969
45,ENSG00000132518.6,0.9824,0.9821,0.0003,0.9944,0.991,0.9685,0.9858,0.9706
46,ENSG00000007038.11,0.9824,0.981,0.0014,0.9929,0.9906,0.9731,0.9821,0.9661
47,ENSG00000284662.1,0.9824,0.9807,0.0017,0.9944,0.9887,0.9706,0.9831,0.9665
48,ENSG00000230663.1,0.9824,0.9804,0.002,0.9929,0.9887,0.9689,0.9841,0.9677
49,ENSG00000248668.2,0.9824,0.9809,0.0015,0.9937,0.9885,0.9679,0.9837,0.9706
50,ENSG00000169245.6,0.9824,0.9807,0.0017,0.9927,0.99,0.9704,0.9827,0.9677
