rank,feature,baseline_auc,loo_auc,delta_auc,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc
1,ENSG00000085276.18,0.9943,0.9949,-0.0006,0.9992,0.9969,0.9935,0.9948,0.9899
2,ENSG00000261599.6,0.9943,0.9946,-0.0003,0.9988,0.9971,0.9925,0.9944,0.9901
3,ENSG00000183604.14,0.9943,0.9938,0.0005,0.999,0.9965,0.9915,0.9933,0.9888
4,ENSG00000197019.5,0.9943,0.9936,0.0007,0.9983,0.9964,0.9914,0.9939,0.9882
5,ENSG00000213860.4,0.9943,0.9937,0.0006,0.9985,0.9971,0.9915,0.9939,0.9876
6,ENSG00000142748.12,0.9943,0.9939,0.0004,0.9985,0.9969,0.9904,0.9935,0.9901
7,ENSG00000184500.15,0.9943,0.9938,0.0005,0.9992,0.9971,0.9904,0.9929,0.9896
8,ENSG00000091879.13,0.9943,0.9944,-0.0001,0.9987,0.9983,0.9912,0.9944,0.9896
9,ENSG00000236682.1,0.9943,0.9938,0.0005,0.9988,0.9964,0.9919,0.9939,0.9882
10,ENSG00000134531.10,0.9943,0.9943,0.0,0.999,0.9979,0.9923,0.9939,0.9884
11,ENSG00000238622.1,0.9943,0.9939,0.0004,0.9992,0.9952,0.9923,0.9925,0.9901
12,ENSG00000142910.16,0.9943,0.9935,0.0008,0.9983,0.996,0.9915,0.9939,0.988
13,ENSG00000131730.16,0.9943,0.9936,0.0007,0.999,0.9965,0.9925,0.994,0.9861
14,ENSG00000280893.1,0.9943,0.9949,-0.0006,0.999,0.9979,0.9925,0.994,0.9911
15,ENSG00000110799.13,0.9943,0.9938,0.0005,0.999,0.9965,0.9912,0.9933,0.9888
16,ENSG00000184113.9,0.9943,0.9941,0.0002,0.9988,0.9967,0.9929,0.9935,0.9884
17,ENSG00000123358.20,0.9943,0.9939,0.0004,0.9987,0.9967,0.9923,0.9927,0.9892
18,ENSG00000223718.3,0.9943,0.9944,-0.0001,0.9992,0.9971,0.9923,0.994,0.9892
19,ENSG00000120669.16,0.9943,0.9941,0.0002,0.9988,0.9975,0.9919,0.9946,0.9876
20,ENSG00000203616.2,0.9943,0.9943,-0.0,0.9988,0.9981,0.9929,0.9931,0.9886
21,ENSG00000049860.14,0.9943,0.9943,0.0,0.9992,0.9969,0.9927,0.9942,0.9882
22,ENSG00000279656.1,0.9943,0.9943,-0.0,0.9988,0.9971,0.9917,0.9942,0.9896
23,ENSG00000226308.1,0.9943,0.9941,0.0002,0.9992,0.9967,0.9933,0.9929,0.9886
24,ENSG00000124370.11,0.9943,0.9942,0.0001,0.9979,0.9973,0.9937,0.994,0.988
25,ENSG00000134955.11,0.9943,0.9937,0.0006,0.9985,0.9969,0.9915,0.9925,0.989
26,ENSG00000286065.1,0.9943,0.9941,0.0002,0.9987,0.9975,0.9925,0.9929,0.9888
27,ENSG00000268388.5,0.9943,0.9942,0.0001,0.999,0.9967,0.9921,0.9937,0.9896
28,ENSG00000255769.7,0.9943,0.9939,0.0004,0.999,0.996,0.9915,0.9935,0.9894
29,ENSG00000131981.16,0.9943,0.9944,-0.0001,0.999,0.9964,0.9925,0.9942,0.9897
30,ENSG00000203620.2,0.9943,0.9938,0.0005,0.9985,0.9973,0.9923,0.9933,0.9876
31,ENSG00000260644.6,0.9943,0.9942,0.0001,0.9992,0.9967,0.9929,0.9931,0.9892
32,ENSG00000269296.1,0.9943,0.9941,0.0002,0.9988,0.9971,0.9915,0.9937,0.9894
33,ENSG00000244414.6,0.9943,0.9946,-0.0003,0.9988,0.9975,0.9923,0.994,0.9901
34,ENSG00000285578.1,0.9943,0.9944,-0.0001,0.9987,0.9971,0.9929,0.9942,0.989
35,ENSG00000103023.11,0.9943,0.9946,-0.0003,0.999,0.9965,0.9937,0.9935,0.9903
36,ENSG00000263755.2,0.9943,0.9946,-0.0003,0.9987,0.9979,0.9919,0.9948,0.9897
37,ENSG00000254681.6,0.9943,0.9945,-0.0002,0.999,0.9971,0.9935,0.9939,0.9892
38,ENSG00000125954.12,0.9943,0.9942,0.0001,0.9988,0.9964,0.9925,0.9939,0.9894
39,ENSG00000261798.1,0.9943,0.9942,0.0001,0.9988,0.9969,0.9923,0.9946,0.9884
40,ENSG00000260776.5,0.9943,0.9946,-0.0003,0.9994,0.9973,0.9933,0.9931,0.9901
41,ENSG00000136235.16,0.9943,0.9939,0.0004,0.9992,0.9964,0.9929,0.9937,0.9874
42,ENSG00000230663.1,0.9943,0.9941,0.0002,0.9992,0.9964,0.9927,0.9927,0.9894
43,ENSG00000141682.11,0.9943,0.994,0.0003,0.9985,0.996,0.9923,0.9937,0.9897
44,ENSG00000229828.2,0.9943,0.9938,0.0005,0.9988,0.9965,0.9927,0.9931,0.9876
45,ENSG00000230178.1,0.9943,0.994,0.0003,0.9985,0.9964,0.9929,0.9937,0.9884
46,ENSG00000259846.1,0.9943,0.9944,-0.0001,0.9992,0.9973,0.9921,0.9937,0.9896
47,ENSG00000248668.2,0.9943,0.9946,-0.0003,0.9994,0.9977,0.9929,0.994,0.989
48,ENSG00000249961.9,0.9943,0.9943,0.0,0.9996,0.9985,0.9917,0.9923,0.9892
49,ENSG00000250252.1,0.9943,0.9934,0.0009,0.9996,0.9962,0.9927,0.9919,0.9865
50,ENSG00000007038.11,0.9943,0.9944,-0.0001,0.999,0.9964,0.9931,0.994,0.9894
