rank,feature,mean_abs_shap
1,ENSG00000085276.18,0.5511075131646445
2,ENSG00000261599.6,0.5287764686567472
3,ENSG00000183604.14,0.5111006032657813
4,ENSG00000197019.5,0.4029158058371479
5,ENSG00000213860.4,0.3698625795471374
6,ENSG00000142748.12,0.3075858176690467
7,ENSG00000184500.15,0.29388260991880494
8,ENSG00000091879.13,0.2926167526370337
9,ENSG00000236682.1,0.2897163340582234
10,ENSG00000134531.10,0.28366259921190384
11,ENSG00000238622.1,0.25993510196002745
12,ENSG00000142910.16,0.25742093239714275
13,ENSG00000131730.16,0.24993663445275743
14,ENSG00000280893.1,0.24778940309440944
15,ENSG00000110799.13,0.24339911477235793
16,ENSG00000184113.9,0.2273709568499143
17,ENSG00000123358.20,0.22728459049914235
18,ENSG00000223718.3,0.2232604080000958
19,ENSG00000120669.16,0.22152278667880243
20,ENSG00000203616.2,0.221075413001214
21,ENSG00000049860.14,0.21683509113594723
22,ENSG00000279656.1,0.2115814621712366
23,ENSG00000226308.1,0.2113379911232892
24,ENSG00000124370.11,0.2063719547096127
25,ENSG00000134955.11,0.20429021480747905
26,ENSG00000286065.1,0.20033585095459716
27,ENSG00000268388.5,0.18783167187512761
28,ENSG00000255769.7,0.18140188641356064
29,ENSG00000131981.16,0.1776194197706663
30,ENSG00000203620.2,0.17572788720434956
31,ENSG00000260644.6,0.1707631230076689
32,ENSG00000269296.1,0.17016259975377448
33,ENSG00000244414.6,0.16833139122885118
34,ENSG00000285578.1,0.16409541539047445
35,ENSG00000103023.11,0.16404494738399067
36,ENSG00000263755.2,0.1626917899437461
37,ENSG00000254681.6,0.16199316152917162
38,ENSG00000125954.12,0.1617302596600494
39,ENSG00000261798.1,0.15977775102376032
40,ENSG00000260776.5,0.15685264855386974
41,ENSG00000136235.16,0.15629359959283878
42,ENSG00000230663.1,0.15142180130409802
43,ENSG00000141682.11,0.15111033271729774
44,ENSG00000229828.2,0.150423981952123
45,ENSG00000230178.1,0.14598835857562556
46,ENSG00000259846.1,0.14593092214320338
47,ENSG00000248668.2,0.1447003926957635
48,ENSG00000249961.9,0.1444183526840062
49,ENSG00000250252.1,0.14386327372281468
50,ENSG00000007038.11,0.14304632449556254
51,ENSG00000132518.6,0.14183816533237625
52,ENSG00000134184.12,0.14182942653668879
53,ENSG00000236908.2,0.14150312202636756
54,ENSG00000237027.1,0.13826261035650417
55,ENSG00000235162.8,0.13447144478116918
56,ENSG00000169245.6,0.13402583712393604
57,ENSG00000284931.1,0.1336098881344541
58,ENSG00000182974.3,0.13322900607418398
59,ENSG00000154760.14,0.1320629520419061
60,ENSG00000282419.2,0.1313079143161179
61,ENSG00000279414.1,0.12958557976836757
62,ENSG00000151632.17,0.128909794212298
63,ENSG00000230267.7,0.12810933386277942
64,ENSG00000260653.5,0.12760414795303554
65,ENSG00000237624.1,0.125953551168037
66,ENSG00000166275.15,0.12593847730945798
67,ENSG00000285807.1,0.12522189960424293
68,ENSG00000196684.12,0.12440388418168209
69,ENSG00000073737.16,0.12349852749436573
70,ENSG00000266524.3,0.12313664925333102
71,ENSG00000178562.18,0.12231945544633753
72,ENSG00000272832.1,0.12088864363310148
73,ENSG00000275803.1,0.12086180835783071
74,ENSG00000204592.9,0.1201858156284097
75,ENSG00000176533.13,0.11960398821697692
76,ENSG00000280828.1,0.11813824553714367
77,ENSG00000185291.11_PAR_Y,0.11751364674182194
78,ENSG00000257702.3,0.11627186653245941
79,ENSG00000279058.2,0.11601714774135982
80,ENSG00000128918.15,0.11547299090436339
81,ENSG00000162366.8,0.11544331723544891
82,ENSG00000159618.16,0.11514503731138567
83,ENSG00000223821.1,0.11475008187337522
84,ENSG00000272619.1,0.11389611986739981
85,ENSG00000233579.1,0.11347387445544724
