step,gene_added,n_features,cv_auc,gain
1,ENSG00000280893.1,1,0.5990994553795395,0.5990994553795395
2,ENSG00000151632.17,2,0.8047600619195047,0.2056606065399652
3,ENSG00000110799.13,3,0.8368723305688007,0.03211226864929606
4,ENSG00000076344.16,4,0.8568803529863732,0.02000802241757249
5,ENSG00000091879.13,5,0.8703681837698584,0.013487830783485144
6,ENSG00000257829.1,6,0.8797123228853586,0.00934413911550025
7,ENSG00000248668.2,7,0.8903538903075636,0.010641567422205012
8,ENSG00000261599.6,8,0.8974376285281689,0.007083738220605262
9,ENSG00000142748.12,9,0.905968226706741,0.008530598178572157
10,ENSG00000277157.1,10,0.9104972204017988,0.00452899369505777
11,ENSG00000226777.7,11,0.9143082924679667,0.003811072066167931
12,ENSG00000214108.4,12,0.916458808840478,0.002150516372511291
13,ENSG00000137834.15,13,0.9200890940317734,0.0036302851912953793
14,ENSG00000231106.2,14,0.9236243248740141,0.003535230842240722
15,ENSG00000267312.1,15,0.9250474565546541,0.0014231316806400107
16,ENSG00000230178.1,16,0.9275120901222571,0.0024646335676029585
17,ENSG00000145365.11,17,0.9290982124697746,0.0015861223475175379
18,ENSG00000275585.2,18,0.9302849088156201,0.0011866963458454505
19,ENSG00000261798.1,19,0.9327595704051885,0.0024746615895684387
20,ENSG00000168255.20,20,0.9341964023411901,0.0014368319360015258
21,ENSG00000266524.3,21,0.9370098980813992,0.002813495740209171
22,ENSG00000284662.1,22,0.937322037920047,0.0003121398386477514
23,ENSG00000284733.1,23,0.9373627149668934,4.067704684640461e-05
24,ENSG00000260300.5,24,0.9366065173668392,-0.000756197600054187
25,ENSG00000131981.16,25,0.9361870353212357,-0.000419482045603492
26,ENSG00000264490.3,26,0.936741260084518,0.0005542247632822628
27,ENSG00000203616.2,27,0.9366214887799146,-0.0001197713046033888
28,ENSG00000146070.16,28,0.9363553930984609,-0.0002660956814536375
29,ENSG00000150687.12,29,0.9362966373641275,-5.875573433344883e-05
30,ENSG00000280163.1,30,0.9366237486158504,0.00032711125172291133
31,ENSG00000270020.1,31,0.9360861901425956,-0.0005375584732547622
32,ENSG00000243716.10,32,0.9357791349348037,-0.00030705520779195083
33,ENSG00000100196.11,33,0.9347014756728662,-0.0010776592619374803
34,ENSG00000198959.12,34,0.9347011931933743,-2.824794919087381e-07
35,ENSG00000276232.1,35,0.933815055027005,-0.000886138166369288
36,ENSG00000268955.2,36,0.9324388149420353,-0.0013762400849697265
