gene,loo_auc,delta,rank
ENSG00000280893.1,0.9287979367697904,0.003640878172244899,1
ENSG00000226777.7,0.9290202481299857,0.0034185668120495505,2
ENSG00000275585.2,0.9290521683125805,0.0033866466294547592,3
ENSG00000137834.15,0.9293281507762536,0.0031106641657816514,4
ENSG00000261599.6,0.9296281439967459,0.0028106709452894174,5
ENSG00000168255.20,0.929671645838512,0.0027671691035232593,6
ENSG00000231106.2,0.9298837879369959,0.002555027005039401,7
ENSG00000248668.2,0.9310114460690153,0.001427368873019974,8
ENSG00000091879.13,0.9310888454498203,0.0013499694922149974,9
ENSG00000151632.17,0.9311272626607309,0.0013115522813044178,10
ENSG00000257829.1,0.9314007028089761,0.0010381121330591547,11
ENSG00000261798.1,0.9314094596732276,0.0010293552688076524,12
ENSG00000277157.1,0.9320571851483581,0.000381629793677174,13
ENSG00000266524.3,0.9322828862624574,0.00015592867957792134,14
ENSG00000203616.2,0.9322859935368693,0.00015282140516603704,15
ENSG00000131981.16,0.9324156516236922,2.316331834306684e-05,16
ENSG00000276232.1,0.9324393799010192,-5.649589839284985e-07,17
ENSG00000264490.3,0.9325560439312106,-0.00011722898917532198,18
ENSG00000267312.1,0.93266960068699,-0.00023078574495472015,19
ENSG00000230178.1,0.932822422092156,-0.0003836071501207572,20
ENSG00000270020.1,0.932822422092156,-0.0003836071501207572,21
ENSG00000284733.1,0.932822422092156,-0.0003836071501207572,22
ENSG00000284662.1,0.932822422092156,-0.0003836071501207572,23
ENSG00000260300.5,0.93282581184606,-0.00038699690402466125,24
ENSG00000145365.11,0.9328591444261148,-0.0004203294840795513,25
ENSG00000280163.1,0.9330354116291157,-0.0005965966870804529,26
ENSG00000214108.4,0.933052360398635,-0.0006135454565997511,27
ENSG00000150687.12,0.9330580099884749,-0.0006191950464395912,28
ENSG00000243716.10,0.9330921900070054,-0.0006533750649700965,29
ENSG00000146070.16,0.9330921900070054,-0.0006533750649700965,30
ENSG00000198959.12,0.9330944498429414,-0.0006556349009061435,31
ENSG00000076344.16,0.9331323020948679,-0.0006934871528325726,32
ENSG00000142748.12,0.93328455854105,-0.0008457435990146811,33
ENSG00000100196.11,0.9334404872206278,-0.0010016722785924914,34
ENSG00000268955.2,0.933815055027005,-0.0013762400849697265,35
ENSG00000110799.13,0.9355596483695283,-0.0031208334274930305,36
