cohort,tissue,n,panel,n_genes,model,AUC,CI_lo,CI_hi
GPL16791,CNS multi-region,636,25-gene,25,LGBM,0.7824,0.7305,0.8317
GPL16791,CNS multi-region,636,25-gene,25,LR_L2,0.7709,0.716,0.8236
GPL16791,CNS multi-region,636,15-crit,16,LGBM,0.7729,0.7176,0.8236
GPL16791,CNS multi-region,636,15-crit,16,LR_L2,0.7926,0.7424,0.8402
GSE76220,Lumbar SC (LCM),20,25-gene,15,LGBM,0.8438,0.6313,0.98
GSE76220,Lumbar SC (LCM),20,25-gene,15,LR_L2,0.6354,0.3333,0.9048
GSE76220,Lumbar SC (LCM),20,15-crit,13,LGBM,0.9688,0.899,1.0
GSE76220,Lumbar SC (LCM),20,15-crit,13,LR_L2,0.75,0.4848,0.9479
GSE122649,Motor cortex,38,25-gene,17,LGBM,0.7949,0.636,0.9256
GSE122649,Motor cortex,38,25-gene,17,LR_L2,0.8333,0.6859,0.9464
GSE122649,Motor cortex,38,15-crit,14,LGBM,0.8269,0.6705,0.9455
GSE122649,Motor cortex,38,15-crit,14,LR_L2,0.8301,0.6682,0.9559
SRP064478,Cervical SC,15,25-gene,21,LGBM,0.8393,0.5714,1.0
SRP064478,Cervical SC,15,25-gene,21,LR_L2,0.7857,0.5,1.0
SRP064478,Cervical SC,15,15-crit,14,LGBM,1.0,1.0,1.0
SRP064478,Cervical SC,15,15-crit,14,LR_L2,0.8929,0.6786,1.0
GSE234297,Blood,144,25-gene,15,LGBM,0.42,0.3264,0.5182
GSE234297,Blood,144,25-gene,15,LR_L2,0.4718,0.3704,0.5713
GSE234297,Blood,144,15-crit,12,LGBM,0.4367,0.3452,0.5334
GSE234297,Blood,144,15-crit,12,LR_L2,0.4672,0.3697,0.5654
