gene,feature,D_ZS_equal,D_ZS_equal_ci_lo,D_ZS_equal_ci_hi,D_ZS_sizew,D_ZS_sizew_ci_lo,D_ZS_sizew_ci_hi,critical_equal,critical_sizew,AUC_GPL16791_LOO,AUC_GSE76220_LOO,AUC_GSE122649_LOO,AUC_SRP064478_LOO,AUC_GPL16791_baseline,AUC_GSE76220_baseline,AUC_GSE122649_baseline,AUC_SRP064478_baseline,avail_GSE76220,avail_GSE122649,avail_SRP064478
NR4A1,ENSG00000123358.20,0.02104,-0.03802,0.08557,-0.01903,-0.03595,-0.00467,False,True,0.75740,0.88542,0.82692,0.87500,0.78268,0.84375,0.79487,0.83929,True,True,True
HEXB,ENSG00000049860.14,-0.06320,-0.11678,-0.01681,-0.01745,-0.02896,-0.00663,True,True,0.77222,0.60417,0.75641,0.87500,0.78268,0.84375,0.79487,0.83929,True,True,True
SERTAD1,ENSG00000197019.5,0.00802,-0.03637,0.06175,-0.01405,-0.02961,0.00040,False,False,0.76554,0.78125,0.81731,0.92857,0.78268,0.84375,0.79487,0.83929,True,True,True
CLDN5,ENSG00000184113.9,-0.03220,-0.08074,0.01515,0.00181,-0.01546,0.01898,False,False,0.78947,0.70312,0.78205,0.85714,0.78268,0.84375,0.79487,0.83929,True,True,True
MCEE,ENSG00000124370.11,-0.00993,-0.04107,0.02077,0.00597,-0.00478,0.01746,False,False,0.79103,0.80208,0.78846,0.83929,0.78268,0.84375,0.79487,0.83929,True,True,True
SLC37A2,ENSG00000134955.11,-0.03590,-0.09607,0.01643,-0.01985,-0.03504,-0.00490,False,True,0.76716,0.87500,0.68910,0.78571,0.78268,0.84375,0.79487,0.83929,True,True,True
FCN3,ENSG00000142748.12,-0.03197,-0.09168,0.02484,-0.00226,-0.01553,0.01027,False,False,0.78574,0.71875,0.75321,0.87500,0.78268,0.84375,0.79487,0.83929,True,True,True
SOHLH2,ENSG00000120669.16,-0.03537,-0.11898,0.03525,-0.00113,-0.01247,0.00995,False,False,0.78451,0.71875,0.83013,0.78571,0.78268,0.84375,0.79487,0.83929,True,True,True
SNORD97,ENSG00000238622.1,-0.01270,-0.05689,0.01524,0.00157,-0.00702,0.00985,False,False,0.78557,0.77083,0.81410,0.83929,0.78268,0.84375,0.79487,0.83929,True,True,False
TINAGL1,ENSG00000142910.16,-0.02010,-0.07260,0.02394,-0.01014,-0.02425,0.00301,False,False,0.77233,0.84375,0.81410,0.75000,0.78268,0.84375,0.79487,0.83929,True,True,True
CKMT2,ENSG00000131730.16,-0.03847,-0.09130,0.01021,-0.02388,-0.04312,-0.00425,False,True,0.76309,0.85417,0.68590,0.80357,0.78268,0.84375,0.79487,0.83929,True,True,True
ANGPT2,ENSG00000091879.13,-0.02250,-0.07458,0.02934,-0.01762,-0.03081,-0.00417,False,True,0.76720,0.83333,0.73077,0.83929,0.78268,0.84375,0.79487,0.83929,True,True,True
SMG1P5,ENSG00000183604.14,0.01318,-0.01601,0.04853,-0.00502,-0.01654,0.00639,False,False,0.77544,0.84375,0.80128,0.89286,0.78268,0.84375,0.79487,0.83929,False,True,True
HERC2P8,ENSG00000261599.6,0.00309,-0.00848,0.02726,-0.02021,-0.03551,-0.00586,False,True,0.75931,0.84375,0.79487,0.87500,0.78268,0.84375,0.79487,0.83929,False,False,True
PROS1,ENSG00000184500.15,-0.08866,-0.14648,-0.02729,-0.00645,-0.01786,0.00538,True,False,0.78734,0.45833,0.78526,0.87500,0.78268,0.84375,0.79487,0.83929,True,True,True
EMP1,ENSG00000134531.10,-0.10838,-0.18970,-0.02791,0.00031,-0.01388,0.01543,True,False,0.79719,0.48958,0.77244,0.76786,0.78268,0.84375,0.79487,0.83929,True,True,True
MECOM,ENSG00000085276.18,0.00300,-0.02196,0.03302,0.00055,-0.00684,0.00870,False,False,0.78325,0.84375,0.78846,0.85714,0.78268,0.84375,0.79487,0.83929,False,True,True
RPL15P11,ENSG00000223718.3,-0.00850,-0.04014,0.01315,-0.01487,-0.02809,-0.00266,False,True,0.76652,0.84375,0.79487,0.82143,0.78268,0.84375,0.79487,0.83929,False,False,True
MAP3K2-DT,ENSG00000236682.1,-0.00109,-0.00294,0.00070,-0.00390,-0.01056,0.00252,False,False,0.77834,0.84375,0.79487,0.83929,0.78268,0.84375,0.79487,0.83929,False,False,False
ENSG00000279656,ENSG00000279656.1,-0.00003,-0.00348,0.00330,-0.00012,-0.01250,0.01186,False,False,0.78255,0.84375,0.79487,0.83929,0.78268,0.84375,0.79487,0.83929,False,False,False
LOC112268270,ENSG00000226308.1,-0.00072,-0.00293,0.00146,-0.00260,-0.01052,0.00522,False,False,0.77978,0.84375,0.79487,0.83929,0.78268,0.84375,0.79487,0.83929,False,False,False
RPL21P75,ENSG00000213860.4,0.01908,-0.00029,0.05359,0.00589,-0.00722,0.01881,False,False,0.78757,0.84375,0.79487,0.91071,0.78268,0.84375,0.79487,0.83929,False,False,True
RHOT1P2,ENSG00000203616.2,-0.01427,-0.06136,0.02548,-0.00426,-0.01681,0.00655,False,False,0.77919,0.84375,0.79487,0.78571,0.78268,0.84375,0.79487,0.83929,False,False,True
ENSG00000280893,ENSG00000280893.1,0.02872,0.00177,0.06884,0.00921,0.00001,0.01912,False,False,0.79043,0.84375,0.79487,0.94643,0.78268,0.84375,0.79487,0.83929,False,False,True
VWF,ENSG00000110799.13,0.05500,0.01716,0.11135,0.00643,-0.00204,0.01576,False,False,0.78221,0.94792,0.83974,0.91071,0.78268,0.84375,0.79487,0.83929,True,True,True
