feature,symbol,selection_freq,n_selected,is_panel
ENSG00000197019.5,SERTAD1,0.72,72,True
ENSG00000261599.6,HERC2P8,0.66,66,True
ENSG00000049860.14,HEXB,0.63,63,True
ENSG00000280893.1,ENSG00000280893,0.57,57,True
ENSG00000085276.18,MECOM,0.52,52,True
ENSG00000134531.10,EMP1,0.51,51,True
ENSG00000184500.15,PROS1,0.45,45,True
ENSG00000142748.12,FCN3,0.43,43,True
ENSG00000255769.7,,0.41,41,False
ENSG00000131730.16,CKMT2,0.38,38,True
ENSG00000110799.13,VWF,0.38,38,True
ENSG00000151632.17,,0.37,37,False
ENSG00000091879.13,ANGPT2,0.34,34,True
ENSG00000230178.1,,0.31,31,False
ENSG00000260644.6,,0.31,31,False
ENSG00000184113.9,CLDN5,0.3,30,True
ENSG00000284931.1,,0.28,28,False
ENSG00000183604.14,SMG1P5,0.27,27,True
ENSG00000007038.11,,0.26,26,False
ENSG00000134955.11,SLC37A2,0.26,26,True
ENSG00000150687.12,,0.24,24,False
ENSG00000213860.4,RPL21P75,0.24,24,True
ENSG00000198959.12,,0.23,23,False
ENSG00000142910.16,TINAGL1,0.23,23,True
ENSG00000120669.16,SOHLH2,0.22,22,True
ENSG00000203616.2,RHOT1P2,0.19,19,True
ENSG00000123358.20,NR4A1,0.19,19,True
ENSG00000136235.16,,0.18,18,False
ENSG00000248668.2,,0.18,18,False
ENSG00000236611.1,,0.17,17,False
ENSG00000261798.1,,0.17,17,False
ENSG00000131981.16,,0.17,17,False
ENSG00000132518.6,,0.16,16,False
ENSG00000279656.1,ENSG00000279656,0.16,16,True
ENSG00000237624.1,,0.15,15,False
ENSG00000124370.11,MCEE,0.15,15,True
ENSG00000141682.11,,0.15,15,False
ENSG00000260653.5,,0.14,14,False
ENSG00000252697.1,,0.14,14,False
ENSG00000233190.1,,0.14,14,False
ENSG00000125954.12,,0.14,14,False
ENSG00000260300.5,,0.13,13,False
ENSG00000128918.15,,0.13,13,False
ENSG00000166275.15,,0.13,13,False
ENSG00000268388.5,,0.12,12,False
ENSG00000073737.16,,0.12,12,False
ENSG00000263755.2,,0.12,12,False
ENSG00000230267.7,,0.11,11,False
ENSG00000229828.2,,0.11,11,False
ENSG00000233579.1,,0.11,11,False
ENSG00000105699.16,,0.1,10,False
ENSG00000205502.4,,0.1,10,False
ENSG00000286065.1,,0.1,10,False
ENSG00000243302.3,,0.1,10,False
ENSG00000266524.3,,0.1,10,False
ENSG00000244414.6,,0.1,10,False
ENSG00000267074.1,,0.1,10,False
ENSG00000214485.6,,0.1,10,False
ENSG00000103023.11,,0.1,10,False
ENSG00000203620.2,,0.09,9,False
ENSG00000231106.2,,0.09,9,False
ENSG00000078401.7,,0.09,9,False
ENSG00000235162.8,,0.09,9,False
ENSG00000285578.1,,0.09,9,False
ENSG00000113249.12,,0.08,8,False
ENSG00000250252.1,,0.08,8,False
ENSG00000085491.17,,0.08,8,False
ENSG00000257702.3,,0.08,8,False
ENSG00000259846.1,,0.08,8,False
ENSG00000023445.14,,0.08,8,False
ENSG00000142675.18,,0.08,8,False
ENSG00000143162.9,,0.08,8,False
ENSG00000231697.3,,0.08,8,False
ENSG00000176532.4,,0.08,8,False
ENSG00000184616.9,,0.08,8,False
ENSG00000214184.3,,0.07,7,False
ENSG00000267312.1,,0.07,7,False
ENSG00000223718.3,RPL15P11,0.07,7,True
ENSG00000230663.1,,0.07,7,False
ENSG00000237027.1,,0.07,7,False
ENSG00000273012.1,,0.07,7,False
ENSG00000148803.12,,0.07,7,False
ENSG00000182912.6,,0.07,7,False
ENSG00000026652.14,,0.06,6,False
ENSG00000203883.7,,0.06,6,False
ENSG00000223821.1,,0.06,6,False
ENSG00000137767.14,,0.06,6,False
ENSG00000267402.1,,0.06,6,False
ENSG00000254443.1,,0.06,6,False
ENSG00000112715.21,,0.06,6,False
ENSG00000233296.1,,0.06,6,False
ENSG00000265666.1,,0.06,6,False
ENSG00000255557.1,,0.06,6,False
ENSG00000232332.1,,0.05,5,False
ENSG00000272832.1,,0.05,5,False
ENSG00000251379.1,,0.05,5,False
ENSG00000127954.12,,0.05,5,False
ENSG00000214108.4,,0.05,5,False
ENSG00000226777.7,,0.05,5,False
ENSG00000273142.1,,0.05,5,False
ENSG00000281938.2,,0.05,5,False
ENSG00000167600.14,,0.05,5,False
ENSG00000225916.1,,0.05,5,False
ENSG00000278765.1,,0.05,5,False
ENSG00000264490.3,,0.05,5,False
ENSG00000214940.8,,0.05,5,False
ENSG00000168255.20,,0.05,5,False
ENSG00000205578.6,,0.05,5,False
ENSG00000270359.1,,0.05,5,False
ENSG00000275385.1,,0.05,5,False
ENSG00000254681.6,,0.05,5,False
ENSG00000236682.1,MAP3K2-DT,0.05,5,True
ENSG00000238622.1,SNORD97,0.05,5,True
ENSG00000269296.1,,0.05,5,False
ENSG00000137976.7,,0.05,5,False
ENSG00000237707.1,,0.05,5,False
ENSG00000159128.14,,0.05,5,False
ENSG00000285807.1,,0.05,5,False
ENSG00000137834.15,,0.05,5,False
ENSG00000279414.1,,0.05,5,False
ENSG00000235042.1,,0.05,5,False
ENSG00000159618.16,,0.05,5,False
ENSG00000231760.5,,0.05,5,False
ENSG00000257829.1,,0.05,5,False
ENSG00000182183.15,,0.05,5,False
ENSG00000185614.5,,0.04,4,False
ENSG00000275585.2,,0.04,4,False
ENSG00000260517.3,,0.04,4,False
ENSG00000241155.1,,0.04,4,False
ENSG00000134612.12,,0.04,4,False
ENSG00000283145.1,,0.04,4,False
ENSG00000132170.21,,0.04,4,False
ENSG00000019991.17,,0.04,4,False
ENSG00000248795.1,,0.04,4,False
ENSG00000159860.7,,0.04,4,False
ENSG00000224137.1,,0.04,4,False
ENSG00000146070.16,,0.04,4,False
ENSG00000169245.6,,0.04,4,False
ENSG00000148773.14,,0.04,4,False
ENSG00000254629.1,,0.04,4,False
ENSG00000133048.13,,0.04,4,False
ENSG00000279058.2,,0.04,4,False
ENSG00000140379.8,,0.04,4,False
ENSG00000111331.13,,0.04,4,False
ENSG00000204006.9,,0.04,4,False
ENSG00000272619.1,,0.04,4,False
ENSG00000269930.1,,0.04,4,False
ENSG00000250471.2,,0.04,4,False
ENSG00000249781.6,,0.04,4,False
ENSG00000134760.6,,0.04,4,False
ENSG00000157927.16,,0.04,4,False
ENSG00000275139.1,,0.04,4,False
ENSG00000230805.6,,0.04,4,False
ENSG00000243708.10,,0.03,3,False
ENSG00000154760.14,,0.03,3,False
ENSG00000227141.2,,0.03,3,False
ENSG00000163217.2,,0.03,3,False
ENSG00000248578.1,,0.03,3,False
ENSG00000253848.1,,0.03,3,False
ENSG00000165501.17,,0.03,3,False
ENSG00000162366.8,,0.03,3,False
ENSG00000100196.11,,0.03,3,False
ENSG00000285556.1,,0.03,3,False
ENSG00000124253.11,,0.03,3,False
ENSG00000185291.11_PAR_Y,,0.03,3,False
ENSG00000153162.9,,0.03,3,False
ENSG00000163923.10,,0.03,3,False
ENSG00000162654.9,,0.03,3,False
ENSG00000254995.4,,0.03,3,False
ENSG00000255221.3,,0.03,3,False
ENSG00000166295.9,,0.03,3,False
ENSG00000229605.5,,0.03,3,False
ENSG00000240505.8,,0.03,3,False
ENSG00000185615.15,,0.03,3,False
ENSG00000249961.9,,0.03,3,False
ENSG00000233288.1,,0.03,3,False
ENSG00000142227.11,,0.03,3,False
ENSG00000258945.1,,0.03,3,False
ENSG00000164488.12,,0.03,3,False
ENSG00000254787.1,,0.03,3,False
ENSG00000272949.1,,0.03,3,False
ENSG00000163597.14,,0.03,3,False
ENSG00000173530.6,,0.03,3,False
ENSG00000279203.1,,0.03,3,False
ENSG00000236078.1,,0.03,3,False
ENSG00000105357.16,,0.03,3,False
ENSG00000250992.1,,0.03,3,False
ENSG00000276846.1,,0.03,3,False
ENSG00000142871.17,,0.03,3,False
ENSG00000242049.1,,0.03,3,False
