k,genes,lgbm_auc,lr_auc,best_individual_auc,synergy_score
4,ENSG00000268955 | MMD2 | EDN3 | PSTPIP1,0.8037,0.7584,0.5968,0.2069
4,ENSG00000268955 | OAS2 | NOSIP | XAF1,0.7944,0.737,0.5757,0.2187
4,ENSG00000268955 | NDST1 | EDN3 | SHKBP1,0.7916,0.74,0.5754,0.2161
4,NDST1 | LSR | EDN3 | SHKBP1,0.7839,0.7628,0.563,0.2209
4,ENSG00000268955 | MMD2 | ENSG00000286011 | EDN3,0.782,0.7558,0.5968,0.1852
4,HAVCR1 | ENSG00000268955 | MMD2 | EDN3,0.7817,0.7549,0.5968,0.1849
4,ENSG00000268955 | NDST1 | NOSIP | SHKBP1,0.7795,0.7347,0.5757,0.2038
4,ENSG00000268955 | NDST1 | LSR | SHKBP1,0.7789,0.7378,0.5754,0.2035
4,ENSG00000268955 | MMD2 | C14orf93 | EDN3,0.7772,0.759,0.5968,0.1804
4,ENSG00000268955 | MMD2 | EDN3 | WHAMMP4,0.777,0.7627,0.5968,0.1801
4,NDST1 | EDN3 | XAF1 | SHKBP1,0.7765,0.7317,0.5739,0.2026
4,ENSG00000268955 | LSR | MMD2 | EDN3,0.7761,0.7555,0.5968,0.1793
4,ENSG00000268955 | MRO | MMD2 | EDN3,0.7758,0.7571,0.5968,0.179
4,ENSG00000286065 | ENSG00000268955 | TM4SF18 | PSTPIP1,0.7735,0.7502,0.5882,0.1852
4,ENSG00000268955 | EDN1 | NDST1 | SHKBP1,0.7728,0.7463,0.5754,0.1974
4,ENSG00000268955 | MMD2 | ENSG00000226747 | EDN3,0.7712,0.7538,0.5968,0.1744
4,ENSG00000268955 | DHCR24 | MYH14 | C14orf93,0.7701,0.7368,0.5754,0.1947
4,EDN1 | NDST1 | EDN3 | SHKBP1,0.7695,0.7215,0.5624,0.2071
4,ENSG00000268955 | OAS2 | XAF1 | MACROD1,0.7688,0.7428,0.5754,0.1934
4,ENSG00000268955 | LINC01447 | MMD2 | EDN3,0.768,0.768,0.5995,0.1685
4,ENSG00000268955 | NDST1 | XAF1 | SHKBP1,0.766,0.732,0.5754,0.1906
4,ENSG00000268955 | NDST1 | SHKBP1 | ZEB1-AS1,0.7658,0.7332,0.5754,0.1904
4,ENSG00000268955 | EDN1 | OAS2 | XAF1,0.7653,0.7336,0.5754,0.1899
4,ANGPT2 | ENSG00000268955 | MMD2 | ENSG00000286011,0.7643,0.757,0.5986,0.1657
4,ENSG00000268955 | OAS3 | OAS2 | NOSIP,0.763,0.733,0.5757,0.1873
4,ENSG00000268955 | NDST1 | SFRP1 | SHKBP1,0.762,0.7384,0.576,0.186
