k,genes,combo_auc,best_individual_auc,synergy_score
2,ANGPT2 | ENSG00000279656,0.6456,0.5986,0.047
2,SNORD97 | NR4A1,0.6431,0.5698,0.0733
2,SNORD97 | ENSG00000279656,0.6358,0.5698,0.066
2,TINAGL1 | ENSG00000279656,0.6353,0.5198,0.1155
2,ENSG00000279656 | LOC112268270,0.6344,0.5144,0.12
2,TINAGL1 | NR4A1,0.6261,0.5473,0.0788
2,MAP3K2-DT | NR4A1,0.6231,0.5473,0.0758
2,NR4A1 | ENSG00000279656,0.6184,0.5473,0.0711
2,SMG1P5 | TINAGL1,0.6109,0.5198,0.0911
2,NR4A1 | LOC112268270,0.6087,0.5473,0.0614
2,CKMT2 | NR4A1,0.608,0.5891,0.0189
2,ANGPT2 | NR4A1,0.6076,0.5986,0.009
2,ANGPT2 | SNORD97,0.6046,0.5986,0.006
2,SMG1P5 | ENSG00000279656,0.6033,0.511,0.0923
2,SMG1P5 | NR4A1,0.6018,0.5473,0.0545
2,ANGPT2 | LOC112268270,0.5994,0.5986,0.0008
2,CKMT2 | ENSG00000279656,0.5989,0.5891,0.0098
2,ANGPT2 | CKMT2,0.5935,0.5986,-0.0051
2,SNORD97 | CKMT2,0.5909,0.5891,0.0018
2,MAP3K2-DT | ENSG00000279656,0.5903,0.5421,0.0482
2,SNORD97 | LOC112268270,0.5902,0.5698,0.0204
2,ANGPT2 | MAP3K2-DT,0.5797,0.5986,-0.0189
2,ANGPT2 | TINAGL1,0.5639,0.5986,-0.0347
2,MAP3K2-DT | CKMT2,0.5622,0.5891,-0.0269
2,SMG1P5 | SNORD97,0.5605,0.5698,-0.0093
2,CKMT2 | LOC112268270,0.5597,0.5891,-0.0294
2,SMG1P5 | CKMT2,0.5594,0.5891,-0.0297
2,SMG1P5 | LOC112268270,0.5554,0.5144,0.041
2,SNORD97 | TINAGL1,0.5525,0.5698,-0.0173
2,SMG1P5 | ANGPT2,0.551,0.5986,-0.0476
2,TINAGL1 | LOC112268270,0.5491,0.5198,0.0293
2,MAP3K2-DT | TINAGL1,0.5486,0.5421,0.0065
2,MAP3K2-DT | SNORD97,0.5457,0.5698,-0.0241
2,TINAGL1 | CKMT2,0.5447,0.5891,-0.0444
2,SMG1P5 | MAP3K2-DT,0.5362,0.5421,-0.0059
2,MAP3K2-DT | LOC112268270,0.5117,0.5421,-0.0304
3,ANGPT2 | ENSG00000279656 | LOC112268270,0.6715,0.5986,0.0729
3,ANGPT2 | MAP3K2-DT | NR4A1,0.6704,0.5986,0.0718
3,ANGPT2 | SNORD97 | ENSG00000279656,0.6691,0.5986,0.0705
3,MAP3K2-DT | CKMT2 | NR4A1,0.6654,0.5891,0.0763
3,ANGPT2 | TINAGL1 | ENSG00000279656,0.6628,0.5986,0.0642
3,TINAGL1 | CKMT2 | NR4A1,0.6621,0.5891,0.073
3,SNORD97 | TINAGL1 | ENSG00000279656,0.6598,0.5698,0.09
3,SNORD97 | NR4A1 | ENSG00000279656,0.6593,0.5698,0.0895
3,SMG1P5 | ANGPT2 | ENSG00000279656,0.6559,0.5986,0.0573
3,TINAGL1 | NR4A1 | ENSG00000279656,0.6555,0.5473,0.1082
3,MAP3K2-DT | SNORD97 | NR4A1,0.6551,0.5698,0.0853
3,ANGPT2 | NR4A1 | ENSG00000279656,0.653,0.5986,0.0544
3,TINAGL1 | ENSG00000279656 | LOC112268270,0.6519,0.5198,0.1321
3,SNORD97 | TINAGL1 | NR4A1,0.6499,0.5698,0.0801
3,MAP3K2-DT | TINAGL1 | NR4A1,0.6496,0.5473,0.1023
3,SMG1P5 | TINAGL1 | ENSG00000279656,0.648,0.5198,0.1282
3,TINAGL1 | NR4A1 | LOC112268270,0.6406,0.5473,0.0933
3,ANGPT2 | MAP3K2-DT | ENSG00000279656,0.6402,0.5986,0.0416
3,SNORD97 | CKMT2 | NR4A1,0.6399,0.5891,0.0508
3,ANGPT2 | CKMT2 | ENSG00000279656,0.6398,0.5986,0.0412
3,NR4A1 | ENSG00000279656 | LOC112268270,0.6394,0.5473,0.0921
3,SNORD97 | NR4A1 | LOC112268270,0.6381,0.5698,0.0683
3,SNORD97 | ENSG00000279656 | LOC112268270,0.6364,0.5698,0.0666
3,MAP3K2-DT | NR4A1 | ENSG00000279656,0.6363,0.5473,0.089
3,ANGPT2 | SNORD97 | NR4A1,0.6354,0.5986,0.0368
3,ANGPT2 | TINAGL1 | NR4A1,0.6349,0.5986,0.0363
3,TINAGL1 | CKMT2 | ENSG00000279656,0.6344,0.5891,0.0453
3,SMG1P5 | TINAGL1 | NR4A1,0.6342,0.5473,0.0869
3,SMG1P5 | TINAGL1 | CKMT2,0.6323,0.5891,0.0432
3,ANGPT2 | MAP3K2-DT | CKMT2,0.6314,0.5986,0.0328
3,SMG1P5 | SNORD97 | ENSG00000279656,0.6311,0.5698,0.0613
3,CKMT2 | NR4A1 | ENSG00000279656,0.6311,0.5891,0.042
3,ANGPT2 | SNORD97 | CKMT2,0.6308,0.5986,0.0322
